类型,索引,替换目标,文本值(繁中）
editer,interface/deck/filter_panel.csb,filter_panel.filter2.entire_chk.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter2.title,卡牌顏色
editer,interface/deck/filter_panel.csb,filter_panel.filter3.checkbox1.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter3.title,水晶消耗
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox1.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox2.desc,普通
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox3.desc,罕見
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox4.desc,史詩
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox5.desc,傳說
editer,interface/deck/filter_panel.csb,filter_panel.filter4.title,卡牌品質
editer,interface/deck/levellist_panel.csb,bg.head.cost.cost_desc,卡費
editer,interface/deck/levelup_panel.csb,node.detailbg.title.name,升級所需材料
editer,interface/deck/levelup_panel.csb,node.title,升級卡牌
editer,interface/deck/resolve_panel.csb,node.detailbg.confirm_btn.desc,確認
editer,interface/deck/resolve_panel.csb,node.detailbg.desc,分解該卡牌將獲得如下素材，是否確認分解？
editer,interface/deck/resolve_panel.csb,node.title,分解卡牌
editer,interface/deck/resolve_panel.csb,node.detailbg.title.name,可分解得到
editer,interface/download_panel.csb,loading_bg.desc,更新到版本
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn1.desc,搜索好友
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn2.desc,待開放
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn3.desc,待開放
editer,interface/friend/friend_add_panel.csb,msgbox.the_bg.find_node.result.result1,無搜索結果
editer,interface/friend/friend_add_panel.csb,msgbox.the_bg.find_node.result.result2.confirm_btn.desc,發送好友申請
editer,interface/friend/friend_add_panel.csb,msgbox.titlebg.title,添加好友
editer,interface/friend/friend_chat_panel.csb,msgbox.chat_node.enter_btn.desc,發送
editer,interface/friend/friend_chat_panel.csb,msgbox.titlebg.title,好友
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.add_btn.desc,+好友
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.message_btn.desc,通知
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.page_btn2.desc,待開放
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.template.the_normal_node.fight_btn.desc,切磋
editer,interface/friend/friend_list_panel.csb,msgbox.titlebg.title,好友
editer,interface/friend/friend_message_panel.csb,node.desc,不再接受好友申請
editer,interface/friend/friend_message_panel.csb,node.template.cancel_btn.desc,拒絕
editer,interface/friend/friend_message_panel.csb,node.template.confirm_btn.desc,同意
editer,interface/friend/friend_message_panel.csb,node.titlebg.title,通知
editer,interface/friend/friend_panel.csb,msgbox.chat_node.textfield,點擊輸入
editer,interface/ladder/intro_list_panel.csb,template.reward_desc,賽季末獎勵
editer,interface/ladder/intro_list_panel.csb,title,天梯段位一覽
editer,interface/ladder/ladder_panel.csb,info_desc,天梯賽規則
editer,interface/login_panel.csb,login_btn.other.desc,Game Center登錄
editer,interface/login_panel.csb,logo.start_txt,點擊開始
editer,interface/login_panel.csb,npc.bubblebg.desc,來一盤Card Monsters吧！
editer,interface/login_panel.csb,tip,請大家搜索并關注"卡片怪獸"facebook官方粉絲團，\n參與活動拿獎勵哦！
editer,interface/mail/mailbox_panel.csb,node.mail_detailbg.confirm_btn.desc,領取獎勵
editer,interface/mail/mailbox_panel.csb,node.mail_detailbg.read_icon.desc,已閱
editer,interface/mail/mailbox_panel.csb,node.mail_template.read_icon.desc,已閱
editer,interface/mail/mailbox_panel.csb,node.title,鸚鵡快訊
editer,interface/pve/main_pve_list.csb,pve_list.template1.name,鼠潮來襲
editer,interface/pve/main_pve_list.csb,pvelist.template1.name,鼠潮來襲
editer,interface/pve/main_pve_list.csb,pvelist.template2.name,怪獸靶場
editer,interface/pve/pve_cardgroup_panel.csb,node.cardgroup_list.cardgroup_btn2,我的牌組
editer,interface/pve/pve_cardgroup_panel.csb,node.times.desc,今日剩餘次數
editer,interface/pve/pve_panel.csb,level_info.level_list.level_template.lock_node.desc,需通過上一難度
editer,interface/pve/pve_panel.csb,level_info.level_list.level_template.unfinished_node.reward_desc,通關獎勵
editer,interface/setting/account_panel.csb,msgbox.desc,請關聯協力廠商賬號保存您的遊戲進度，這樣您可以在任意設備上玩卡片怪獸了
editer,interface/setting/account_panel.csb,msgbox.titlebg.title,賬號關聯
editer,interface/setting/account_panel.csb,msgbox.transform_btn.desc,切換賬號
editer,interface/setting/cdkey_panel.csb,msgbox.confirm_btn.desc,確認
editer,interface/setting/cdkey_panel.csb,msgbox.titlebg.title,兌換禮品碼
editer,interface/setting/global_setting_panel.csb,msgbox.login_btn.btn2.desc,兌換禮品碼
editer,interface/setting/global_setting_panel.csb,msgbox.login_btn.btn3.desc,賬號關聯
editer,interface/setting/global_setting_panel.csb,msgbox.titlebg.title,設定
editer,interface/task/task_normal_node.csb,normal_node.title1,任務目標
editer,interface/task/task_normal_node.csb,normal_node.title2,任務獎勵
editer,interface/task/task_normal_node.csb,normal_node.transform_btn.desc,刷新
editer,interface/task/task_panel.csb,msgbox.page_btn2.desc,任務
editer,interface/task/task_panel.csb,node.titlebg.title,任務
editer,interface/task/task_waiting_node.csb,waitting_node.title,接到下個任務還需
editer,interface/world/deck_panel.csb,cardbook.book.page.title,我的牌本
editer,interface/world/deck_panel.csb,cardbook_btn.desc,我的收藏
editer,interface/world/deck_panel.csb,create_btn.desc,製造卡牌
editer,interface/world/deck_panel.csb,create_node.node.bg.desc1,怪獸粉末
editer,interface/world/deck_panel.csb,create_node.node.bg2.desc1,道具粉末
editer,interface/world/deck_panel.csb,create_node.node.topbg.title,製造卡牌
editer,interface/world/friendfight_panel.csb,msgbox.step1.champion_desc,獲得冠軍次數
editer,interface/world/friendfight_panel.csb,msgbox.step1.create_btn.desc,請輸入房間編號
editer,interface/world/friendfight_panel.csb,msgbox.step1.desc,每個房間滿足4人參加方可開戰；4人隨機兩兩配對進行半決賽，失敗的2人退出房間，勝利的2人留在房間繼續進行決賽決出冠軍。
editer,interface/world/friendfight_panel.csb,msgbox.step1.enter_btn.desc,加入
editer,interface/world/friendfight_panel.csb,msgbox.step1.textfield,請輸入房間編號
editer,interface/world/friendfight_panel.csb,msgbox.step2.copy_btn.desc,退出比賽房間
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot1.enter_node.fight_desc,對戰中
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot2.enter_node.fight_desc,對戰中
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot3.enter_node.fight_desc,對戰中
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot4.enter_node.fight_desc,對戰中
editer,interface/world/help_btn.csb,setting.desc,新手幫助
editer,interface/world/help_btn.csb,helpbtn.desc,新手幫助
editer,interface/world/help_panel.csb,back_btn.desc,返回
editer,interface/world/help_panel.csb,pageview.page0.desc1,問與答 1
editer,interface/world/help_panel.csb,pageview.page0.desc2,問：為什麼不能取名字？而是隨機ID？\n答：目前由於沒有賬號系統，所以採用了直接進入遊戲，隨機分配ID的形式。我們會考慮增加玩家可自己起名的系統。\n\n問：為什麼沒有新手引導？\n答：由於《卡片怪獸》還處於測試階段，眾多核心玩法還沒實裝。按照基本流程，每個核心玩法都應該有相應的新手引導，所以目前暫
editer,interface/world/help_panel.csb,pageview.page1.desc1,左邊是物品卡
editer,interface/world/help_panel.csb,pageview.page1.desc2,右邊是怪獸卡
editer,interface/world/help_panel.csb,pageview.page1.desc3,剩餘數量
editer,interface/world/help_panel.csb,pageview.page1.desc4,自己
editer,interface/world/help_panel.csb,pageview.page1.desc5,卡牌分為怪獸卡與物品卡（裝備卡與消耗卡）。只有怪獸能上場，裝備卡必須裝備在同色的怪獸上
editer,interface/world/help_panel.csb,pageview.page2.desc1,自己
editer,interface/world/help_panel.csb,pageview.page2.desc2,介面下方的獻祭按鈕，可以把自己的卡牌獻祭，以獲得更多的水晶
editer,interface/world/help_panel.csb,pageview.page3.desc1,對手
editer,interface/world/help_panel.csb,pageview.page3.desc2,開始鍵
editer,interface/world/help_panel.csb,pageview.page3.desc3,當怪獸放好後，點擊戰鬥圖示就可以進行攻擊。如果場上沒有怪獸而點擊開始鍵，就會受到“懲罰”
editer,interface/world/help_panel.csb,pageview.page4.desc1,對手
editer,interface/world/help_panel.csb,pageview.page4.desc2,剩餘怪獸
editer,interface/world/help_panel.csb,pageview.page4.desc3,對手怪獸剩餘數量
editer,interface/world/help_panel.csb,pageview.page4.desc4,遊戲為回合制，直到一方的怪獸卡全部被消滅，分出勝負
editer,interface/world/help_panel.csb,pageview.page5.desc1,對手
editer,interface/world/help_panel.csb,pageview.page5.desc2,前排
editer,interface/world/help_panel.csb,pageview.page5.desc3,後排
editer,interface/world/help_panel.csb,pageview.page5.desc4,後排
editer,interface/world/help_panel.csb,pageview.page5.desc5,前排
editer,interface/world/help_panel.csb,pageview.page5.desc6,後排
editer,interface/world/help_panel.csb,pageview.page5.desc7,後排
editer,interface/world/help_panel.csb,pageview.page5.desc8,自己
editer,interface/world/help_panel.csb,pageview.page5.desc9,近戰只有在1號位才能進攻對方1號位目標
editer,interface/world/help_panel.csb,pageview.page6.desc1,對手
editer,interface/world/help_panel.csb,pageview.page6.desc2,前排
editer,interface/world/help_panel.csb,pageview.page6.desc3,後排
editer,interface/world/help_panel.csb,pageview.page6.desc4,後排
editer,interface/world/help_panel.csb,pageview.page6.desc5,前排
editer,interface/world/help_panel.csb,pageview.page6.desc6,後排
editer,interface/world/help_panel.csb,pageview.page6.desc7,後排
editer,interface/world/help_panel.csb,pageview.page6.desc8,自己
editer,interface/world/help_panel.csb,pageview.page6.desc9,遠程只有在2號位和3號位才能進攻他的攻擊目標有固定的優先順序(圖中的1-2-3）
editer,interface/world/help_panel.csb,pageview.page7.desc1,對手
editer,interface/world/help_panel.csb,pageview.page7.desc2,前排
editer,interface/world/help_panel.csb,pageview.page7.desc3,後排
editer,interface/world/help_panel.csb,pageview.page7.desc4,後排
editer,interface/world/help_panel.csb,pageview.page7.desc5,前排
editer,interface/world/help_panel.csb,pageview.page7.desc6,後排
editer,interface/world/help_panel.csb,pageview.page7.desc7,後排
editer,interface/world/help_panel.csb,pageview.page7.desc8,自己
editer,interface/world/help_panel.csb,pageview.page7.desc9,魔法攻擊可以在任何位置進行攻擊魔法的攻擊優先是在正對面，如果對面沒有目標就會攻擊側面的目標
editer,interface/world/help_panel.csb,pageview.page8.desc1,對手
editer,interface/world/help_panel.csb,pageview.page8.desc2,近戰或弓箭攻擊會優先對“護甲”造成相應的傷害魔法攻擊會無視護甲直接造成傷害
editer,interface/world/help_panel.csb,pageview.page9.desc1,問與答 2
editer,interface/world/help_panel.csb,pageview.page9.desc2,問：為什麼任務以外的戰鬥無法獲得卡包？\n答：目前由於其他玩法和系統還未上線，所以各位勇者只能每天8點和20點通過酒館老闆娘發佈的任務來獲得卡包。之後等到其他玩法和系統上線之後，勇者們獲得卡包的途徑將增多！?\n\n問：為什麼戰鬥無法獲得經驗、金幣和其他素材？\n答：我們非常瞭解勇者您迫切想要LV?UP，並且打敗大魔
editer,interface/world/help_panel.csb,title,簡易新手幫助
editer,interface/world/ladder_panel.csb,node.info_desc,每小時刷新一次排名
editer,interface/world/ladder_panel.csb,node.page_btn1.desc,全球榜
editer,interface/world/ladder_panel.csb,node.page_btn2.desc,好友榜
editer,interface/world/ladder_panel.csb,node.titlebg.title,排行榜
editer,interface/world/ladder_panel.csb,node.top_btn.desc,回到頂部
editer,interface/world/main_panel.csb,achievement.desc,成就
editer,interface/world/main_panel.csb,cardbag.desc,補充包
editer,interface/world/main_panel.csb,cardbook.desc,我的牌本
editer,interface/world/main_panel.csb,community.desc,社區
editer,interface/world/main_panel.csb,event.tip,約戰房
editer,interface/world/main_panel.csb,friend.desc,好友
editer,interface/world/main_panel.csb,ladder.desc,排行榜
editer,interface/world/main_panel.csb,mailbox.desc,鸚鵡快訊
editer,interface/world/main_panel.csb,pvebtn.desc,冒險
editer,interface/world/main_panel.csb,pvpbtn.desc,匹配戰鬥
editer,interface/world/main_panel.csb,reward_tip.desc,每日獎勵
editer,interface/world/main_panel.csb,setting.desc,設定
editer,interface/world/main_panel.csb,setting2.desc,設定
editer,interface/world/main_panel.csb,task.desc,任務板
editer,interface/world/main_panel.csb,task.desc,任務
editer,interface/world/main_panel.csb,tip,請搜索並關注facebook官方粉絲團“卡片怪獸”，參與活動拿獎勵哦！
editer,interface/world/match_panel.csb,msgbox.bubble_bg.desc,決定就是你了！
editer,interface/world/match_panel.csb,msgbox.desc,尋找對手中...
editer,interface/battle/battle_end2/mvp_node.csb,panel.title,全場最佳
editer,interface/battle/battle_end2/reward_template.csb,panel.title,獎勵
text,lost_connection,,伺服器連接中斷
text,unconnected,,伺服器未連接
text,send_time_out,,操作請求超時
text,battle_pvp_text,,第%d回合
text,own_monster_num,,怪獸%d
text,own_item_num,,裝備%d
text,battle_started,,準備開始
text,card_type_monster,,怪獸卡
text,card_type_armor,,護甲卡
text,card_type_equip,,武器卡
text,card_type_consume,,消耗卡
text,operation_card_level_up,,可升%d張卡
text,operation_card_detail,,卡牌明細
text,fight_deck_name,,戰鬥卡組 %d
text,arena_stage_wait_desc,,匹配對戰
text,arena_stage_match_desc,,取消匹配
text,sacrifice_error,,每回合僅能獻祭一次
text,deck_is_null,,卡組不存在
text,card_is_null,,卡牌不存在
text,card_config_is_null,,卡牌資料不存在
text,deck_monster_full,,加入怪獸卡組失敗
text,deck_item_full,,加入道具卡組失敗
text,deck_same_card_limit,,同樣的卡不能超過3張
text,battle_is_null,,你不在戰鬥中
text,battle_hand_card_is_null,,手牌不存在
text,battle_crystal_not_enough,,水晶不足
text,battle_target_card_is_null,,沒有目標
text,battle_monster_kind_not_match,,只能裝在同色怪獸身上
text,battle_consume_own_deploy_fail,,無法對我方使用此卡
text,battle_consume_enemy_deploy_fail,,無法對敵方使用此卡
text,common_confirm,,確 定
text,common_cancel,,取 消
text,common_close,,關 閉
text,unknown_error,,未知錯誤
text,package_decompress_err_title,,解壓失敗
text,package_decompress_err,,解壓失敗
text,package_decompress_err_confirm1,,退出遊戲
text,package_decompress_err_confirm2,,重新下載
text,package_version_too_low_title,,版本過低
text,package_version_too_low,,你當前的遊戲版本過低，遊戲將關閉。
text,package_update_title,,遊戲更新
text,package_update,,本次熱更新大小:%.2f Mb，是否馬上進行更新？
text,network_unable_connect_title,,連接失敗
text,network_unable_connect,,無法連接到伺服器，請檢查你的網路設定
text,network_unable_connect_confirm,,重新連接
text,network_unable_connect_close,,關 閉
text,network_unable_connect_cancel,,取 消
text,network_unable_connect_login,,返回登錄
text,game_exit_title,,退出遊戲提示
text,game_exit_desc,,確定要離開卡片怪獸嗎？
text,game_exit_confirm,,退出
text,game_exit_cancel,,返回
text,online_player_desc,,線上%d人
text,world_home_btn,,主頁
text,world_deck_btn,,卡組
text,card_level_desc,,Lv%d
text,tips_random_desc,,小提示:%s
text,deck_chest_time_over,,即可
text,chest_money_desc,,%d-%d金幣
text,chest_card_desc,,%d卡牌
text,chest_is_empty,,卡包是空的
text,chest_is_time_out,,開啟卡包時候還未到
text,chest_chest_opening,,有卡包正在開啟中
text,chest_stage_open,,開啟倒計時
text,chest_stage_use,,撕開卡包
text,chest_time_desc,,%s後開啟
text,chest_nofiy_desc,,%s已經可以開啟
text,card_quality_narmal,,普通
text,card_quality_rare,,罕見
text,card_quality_rarity,,史詩
text,card_quality_epic,,傳說
text,battle_result_win,,勝利
text,battle_result_lose,,失敗
text,battle_round_own,,你的回合
text,battle_round_first,,先手
text,battle_round_after,,後手
text,battle_power_desc,,卡組強度%d
text,battle_exit_title,,戰場提示
text,battle_exit_desc,,您的戰鬥已經結束,請按確定鍵退出戰鬥
text,battle_exit_confirm,,確? 定
text,arena_level_desc,,牌手%d段
text,slot_detail_title_status,,附加狀態
text,slot_detail_title_power,,說明
text,slot_detail_title_buff,,增益狀態
text,slot_detail_title_debuff,,減益狀態
text,own_deck_penalty,,我方消極懲罰
text,enemy_deck_penalty,,敵方消極懲罰
text,un_sacrifice_target,,沒有選擇任何卡牌
text,mail_send_user_name,,寄件人:%s
text,mail_system_offline,,郵件系統尚未上線
text,mail_is_null,,沒有找到此郵件
text,chest_have_card_num,,共有卡片x%d
text,chest_quality_at_least,,至少含%s卡x%d
text,refresh_time_desc,,刷新時間: %s
text,extra_crystal_use_desc,,【額外水晶】技能只能通過獻祭觸發
text,user_is_ban,,賬號被封停,請聯繫GM
text,service_is_close,,伺服器尚未開啟，請稍後再試
text,nofiy_refresh_time_desc,,老闆娘的補充包已刷新
text,deck_limit_desc,,%s僅能上陣%d張
text,card_num_not_enough,,卡牌數量不足
text,card_is_max_level,,該卡牌已達最高等級！
text,resource_money_not_enough,,金幣不足
text,resource_coin_not_enough,,血鑽不足
text,card_not_resolve,,該卡牌無法分解！
text,card_upgrade_success,,升級成功
text,card_resolve_success,,分解成功
text,cardgroup_info_num,,%d號套牌
text,monster_property_card,,怪獸牌
text,the_property_card,,道具牌
text,the_battle_card,,手牌
text,input_room_num,,請輸入四位數房號
text,room_not_exist,,房間不存在
text,room_is_full,,比賽已經開始，無法加入
text,challenge_3,,比賽已經開始，無法加入
text,challenge_4,,成功加入比賽
text,challenge_5,,等待對手加入…
text,challenge_6,,（我）
text,the_countdown_began,,人員到齊，準備開戰！
text,challenge_prompt_txt,,確認退出比賽嗎？
text,fail_the_battle,,已被淘汰
text,you_are_win,,你獲勝了！
text,you_are_lose,,你失敗了！
text,win_the_semifinals,,恭喜您贏得半決賽！
text,challenge_room_number,,編號 %d 房間
text,challenge_room_name,,四人約戰房
text,wait_for_people,,等待玩家
text,in_the_battle,,對戰中
text,ail_the_battle,,淘汰
text,add_QQ,,請關注facebook官方粉絲團，搜索“卡片怪獸”加入到遊戲的討論中
text,add_facebook,,請關注facebook粉絲團，搜索“卡片怪獸”
text,challenge_prompt,,退出約戰
text,the_countdown_numer1,,1
text,the_countdown_numer2,,2
text,the_countdown_numer3,,3
text,this_is_me,,（我）
text,item_num_not_enough,,道具不足
text,please_input_room,,請輸入房間號
text,create_room_failed,,創建房間失敗
text,the_card_handbook,,卡牌圖鑒
text,my_card_handbook,,我的卡本
text,prop_powder_num,,%d怪獸粉末
text,monster_powder_num,,%d道具粉末
text,powder_not_enough,,怪獸粉末不夠
text,item_powder_not_enough,,道具粉末不夠
text,card_compose_success,,合成成功
text,card_only_two,,已達到該卡製作數量上限
text,rank_win_lose_value,,%s勝/%s負
text,user_rank_info,,你的排名(下一次刷新時間:%s)
text,rank_info_name,,獎盃數 說明
text,rank_info_desc,,匹配戰鬥勝利可以增加獎盃數，反之會降低。
text,user_not_in_rank,,很抱歉，您沒有入榜
text,user_in_rank,,你的排名(每小時刷新排名)
text,battle_immunity_consume_card,,擁有【免疫】技能的怪獸無法成為消耗品的目標
text,compose_limit_desc,,超過合成上限
text,card_not_compose,,無法合成
text,enemy_match_ready_desc,,等待進入戰場
text,ourside_match_ready_desc,,準備就緒
text,rank_elo_name,,ELO:
text,user_in_world_rank,,你的全球排名
text,user_in_friend_rank,,你的好友排名
text,user_country_empty,,未知地區
text,user_world_rank_number,,/全球%d名
text,user_friend_rank_number,,好友中的獎盃數排名:%d
text,normal_friend_online,,普通(線上%d)
text,friend_fight,,切磋
text,friend_fight_countdown,,%d秒
text,title_delete_friend_normal,,刪除普通好友
text,desc_delete_friend_normal,,確認刪除該好友？
text,friend_setting_desc,,編輯
text,friend_chatting_title,,與%s在聊天
text,friend_chatting_emptytext,,資訊不能為空
text,pve_misson1_title,,— 鼠潮來襲 —
text,pve_misson1_confition,,勝利條件：消滅10個沙鼠\n失敗條件：我方怪獸全滅
text,pve_misson1_tip,,＊消滅鼠患，人人有責
text,pve_misson1_tip2,,＊超挑戰難度（策劃手抖的臨時產物）！此難度適合喜歡自虐的玩家自娛自樂
text,pve_misson2_title,,— 怪獸靶場 —
text,pve_misson2_confition,,勝利條件：消滅任意7個靶子\n 失敗條件：我方怪獸全滅 或 敵方水晶數達到50
text,pve_misson2_tip,,＊靈活的應用各種攻擊方式是戰勝對手的關鍵！精准的命中靶子，並避開那些炸彈靶子吧！
text,pve_day_limit_desc,,牌組選擇
text,pve_cardgroup_mission,,租用牌組
text,pve_cardgroup_ourside,,我的牌組
text,pve_cardgroup_limit,,周%s限定：至少上陣%d張%s色怪獸牌
text,pve_startbtn_limit,,缺%d張%s色怪獸牌
text,pve_startbtn_normal,,進入關卡
text,pve_startbtn_times,,今日次數不足
text,mission_difficulty_desc,,關卡難度%d★
text,pve_battle_mission1_desc,,擊殺所有沙鼠
text,pve_battle_mission2_desc,,在敵方達到50水晶前消滅%d個靶子
text,input_friend_num,,輸入用戶編號
text,input_chat_word,,輸入聊天資訊
text,the_hp_desc,,血量
text,the_armor_desc,,護甲
text,please_input_id,,搜索不到該編號
text,invite_battle_prompt,,好友切磋
text,battle_with_friend,,切磋申請已發出，等待回復
text,friend_online_state,,線上
text,friend_outline_state_day,,上次線上 %d天前
text,friend_outline_state_hour,,上次線上 %d小時前
text,friend_fight_state,,正在戰鬥
text,friend_fightbtn_cancel,,取消切磋
text,invited_battle_prompt,,好友切磋
text,invited_battle_with_friend,,%s向你發出切磋申請，是否接受？
text,invited_fight_msgbox_confirm,,接受
text,invited_fight_msgbox_cancel,,拒絕
text,tip_friend_fight_state,,該好友正在戰鬥
text,tip_friend_outline_state,,該好友已經下線
text,pve_finished_desc,,關卡難度%d★已通過！
text,user_not_exist,,該玩家不存在
text,user_already_friend,,該玩家已經是你的好友
text,user_not_be_added,,該玩家拒絕任何好友請求
text,user_not_online,,該玩家不線上
text,user_is_fighting,,該玩家正在戰鬥中
text,user_is_matching,,該玩家正在匹配中
text,friend_invite_not_time,,邀請時間沒到
text,user_is_myself,,不能添加自己為好友
text,friend_is_inviting,,該玩家正在被邀請
text,user_not_add_list,,該玩家不在列表中
text,not_friend_ship,,不是好友關係
text,user_already_request_add,, 已經申請過加好友
text,refuse_friend_success,,拒絕邀請成功
text,send_add_friend_success,,成功發出申請
text,add_friend_success,,好友添加成功
text,delete_friend_success,,刪除好友成功
text,people_is_online,,線上
text,people_is_offline,,離線
text,people_is_fighting,,戰鬥中
text,people_is_matching,,匹配中
text,people_is_inviting,,邀請中
text,task_free_refresh_desc,,今日免費刷新次數 %d/%d
text,task_progress_desc,,進度%d/%d
text,task_daily_last_num,,今日還可完成任務:%d
text,join_room_failed,,加入房間失敗
text,filter_close_desc,,篩選器
text,filter_open_desc,,確定
text,account_bind_success_t,,平臺%s綁定成功
text,account_bind_state1,,關聯%s
text,account_bind_state2,,%s正在關聯
text,account_bind_state3,,%s已關聯
text,account_login_state1,,%s登入
text,account_login_state2,,%s正在登入
text,account_bind_name_wc,,微信
text,account_bind_name_yk,,遊客
text,account_bind_name_bd,,%s綁定
text,account_bind_alert,,該%s賬號已關聯過另一個遊戲進度 是否切換？（未關聯賬號可能會丟失本地資料）
text,account_bind_log_tips,,請確保您已在【設定】->【GameCenter】中登入賬號
text,account_bind_log_tips1,,遊客玩家請先關聯再切換
text,login_auth_error,,賬號驗證失敗,請稍後再試
text,achievement_name_1,,廣結好友
text,achievement_name_2,,天梯勝利
text,achievement_name_4,,傳說卡片
text,achievement_name_5,,史詩卡片
text,achievement_name_6,,辛勤勞動
text,achievement_name_7,,好友切磋
text,achievement_name_8,,戰個痛快
text,achievement_name_9,,約戰冠軍
text,achievement_name_11,,三連勝
