ID,level_lower_limit,level_upper_limit,task_type,parm1,parm2,parm3,parm4,value,random_probability,reward_type1,reward_id1,reward_num1,reward_type2,reward_id2,reward_num2,desc
600019,6,6,2,nature|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Nature clan cards(green) or Chaos clan cards(purple) in Battle/Practice Mode and win
600020,6,6,2,nature|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Nature clan cards(green) or Neutral clan cards(white) in Battle/Practice Mode and win
600021,6,6,2,chaos|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Chaos clan cards(purple) or Neutral clan cards(white) in Battle/Practice Mode and win
600022,6,6,3,0,0,0,0,1,13990,chest,43,1,resource,500001,10,Win 1 match in Battle/Practice Mode
600023,6,6,4,0,0,0,0,6,15000,chest,43,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
600024,6,6,5,0,0,0,0,6,15000,chest,43,1,resource,500001,10,Use 6 items in Battle/Practice Mode
600025,6,6,6,0,monster,2,2,2,1334,chest,43,1,resource,500001,10,Summon 2 monsters cost 2 or less in Battle/Practice Mode
600026,6,6,6,0,monster,3,2,3,1334,chest,43,1,resource,500001,10,Summon 3 monsters cost 3 or less in Battle/Practice Mode
600027,6,6,6,0,monster,4,2,4,1334,chest,43,1,resource,500001,10,Summon 4 monsters cost 4 or less in Battle/Practice Mode
600028,6,6,6,0,monster,2,1,3,1334,chest,43,1,resource,500001,10,Summon 3 monsters cost 2 or more in Battle/Practice Mode
600029,6,6,6,0,monster,3,1,2,1334,chest,43,1,resource,500001,10,Summon 2 monsters cost 3 or more in Battle/Practice Mode
600030,6,6,6,0,armor|equip|consume,2,2,2,1334,chest,43,1,resource,500001,10,Use 2 items cost 2 or less in Battle/Practice Mode
600031,6,6,6,0,armor|equip|consume,3,2,3,1334,chest,43,1,resource,500001,10,Use 3 items cost 3 or less in Battle/Practice Mode
600032,6,6,6,0,armor|equip|consume,4,2,4,1334,chest,43,1,resource,500001,10,Use 4 items cost 4 or less in Battle/Practice Mode
600033,6,6,6,0,armor|equip|consume,2,1,3,1334,chest,43,1,resource,500001,10,Use 3 items cost 2 or more in Battle/Practice Mode
600034,6,6,6,0,armor|equip|consume,3,1,2,1334,chest,43,1,resource,500001,10,Use 2 items cost 3 or more in Battle/Practice Mode
600035,6,6,6,0,monster|armor|equip|consume,2,2,2,1334,chest,43,1,resource,500001,10,Use 2 cards cost 2 or less in Battle/Practice Mode
600036,6,6,6,0,monster|armor|equip|consume,3,2,3,1334,chest,43,1,resource,500001,10,Use 3 cards cost 3 or less in Battle/Practice Mode
600037,6,6,6,0,monster|armor|equip|consume,4,2,4,1334,chest,43,1,resource,500001,10,Use 4 cards cost 4 or less in Battle/Practice Mode
600038,6,6,6,0,monster|armor|equip|consume,2,1,3,1334,chest,43,1,resource,500001,10,Use 3 cards cost 2 or more in Battle/Practice Mode
600039,6,6,6,0,monster|armor|equip|consume,3,1,2,1334,chest,43,1,resource,500001,10,Use 2 cards cost 3 or more in Battle/Practice Mode
600040,6,6,8,0,0,0,0,2,15000,chest,43,1,resource,500001,10,Win 2 matches in Advance Mode
700001,7,7,2,war,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,Use 2 War clan cards(red) in Battle/Practice Mode and win
700002,7,7,2,fortune,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,Use 2 Fortune clan cards(yellow) in Battle/Practice Mode and win
700003,7,7,2,balance,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,Use 2 Balance clan cards(blue) in Battle/Practice Mode and win
700004,7,7,2,nature,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,Use 2 Nature clan cards(green) in Battle/Practice Mode and win
700005,7,7,2,chaos,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,Use 2 Chaos clan cards(purple) in Battle/Practice Mode and win
700006,7,7,2,all,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,Use 2 Neutral clan cards(white) in Battle/Practice Mode and win
700007,7,7,2,war|fortune,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 War clan cards(red) or Fortune clan cards(yellow) in Battle/Practice Mode and win
700008,7,7,2,war|balance,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 War clan cards(red) or Balance clan cards(blue) in Battle/Practice Mode and win
700009,7,7,2,war|nature,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 War clan cards(red) or Nature clan cards(green) in Battle/Practice Mode and win
700010,7,7,2,war|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 War clan cards(red) or Chaos clan cards(purple) in Battle/Practice Mode and win
700011,7,7,2,war|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 War clan cards(red) or Neutral clan cards(white) in Battle/Practice Mode and win
700012,7,7,2,fortune|balance,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Balance clan cards(blue) in Battle/Practice Mode and win
700013,7,7,2,fortune|nature,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Nature clan cards(green) in Battle/Practice Mode and win
700014,7,7,2,fortune|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Chaos clan cards(purple) in Battle/Practice Mode and win
700015,7,7,2,fortune|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Neutral clan cards(white) in Battle/Practice Mode and win
700016,7,7,2,balance|nature,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Balance clan cards(blue) or Nature clan cards(green) in Battle/Practice Mode and win
700017,7,7,2,balance|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Balance clan cards(blue) or Chaos clan cards(purple) in Battle/Practice Mode and win
700018,7,7,2,balance|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Balance clan cards(blue) or Neutral clan cards(white) in Battle/Practice Mode and win
700019,7,7,2,nature|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Nature clan cards(green) or Chaos clan cards(purple) in Battle/Practice Mode and win
700020,7,7,2,nature|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Nature clan cards(green) or Neutral clan cards(white) in Battle/Practice Mode and win
700021,7,7,2,chaos|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,Use 3 Chaos clan cards(purple) or Neutral clan cards(white) in Battle/Practice Mode and win
700022,7,7,3,0,0,0,0,1,13990,chest,44,1,resource,500001,10,Win 1 match in Battle/Practice Mode
700023,7,7,4,0,0,0,0,6,15000,chest,44,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
700024,7,7,5,0,0,0,0,6,15000,chest,44,1,resource,500001,10,Use 6 items in Battle/Practice Mode
700025,7,7,6,0,monster,2,2,2,1334,chest,44,1,resource,500001,10,Summon 2 monsters cost 2 or less in Battle/Practice Mode
700026,7,7,6,0,monster,3,2,3,1334,chest,44,1,resource,500001,10,Summon 3 monsters cost 3 or less in Battle/Practice Mode
700027,7,7,6,0,monster,4,2,4,1334,chest,44,1,resource,500001,10,Summon 4 monsters cost 4 or less in Battle/Practice Mode
700028,7,7,6,0,monster,2,1,3,1334,chest,44,1,resource,500001,10,Summon 3 monsters cost 2 or more in Battle/Practice Mode
700029,7,7,6,0,monster,3,1,2,1334,chest,44,1,resource,500001,10,Summon 2 monsters cost 3 or more in Battle/Practice Mode
700030,7,7,6,0,armor|equip|consume,2,2,2,1334,chest,44,1,resource,500001,10,Use 2 items cost 2 or less in Battle/Practice Mode
700031,7,7,6,0,armor|equip|consume,3,2,3,1334,chest,44,1,resource,500001,10,Use 3 items cost 3 or less in Battle/Practice Mode
700032,7,7,6,0,armor|equip|consume,4,2,4,1334,chest,44,1,resource,500001,10,Use 4 items cost 4 or less in Battle/Practice Mode
700033,7,7,6,0,armor|equip|consume,2,1,3,1334,chest,44,1,resource,500001,10,Use 3 items cost 2 or more in Battle/Practice Mode
700034,7,7,6,0,armor|equip|consume,3,1,2,1334,chest,44,1,resource,500001,10,Use 2 items cost 3 or more in Battle/Practice Mode
700035,7,7,6,0,monster|armor|equip|consume,2,2,2,1334,chest,44,1,resource,500001,10,Use 2 cards cost 2 or less in Battle/Practice Mode
700036,7,7,6,0,monster|armor|equip|consume,3,2,3,1334,chest,44,1,resource,500001,10,Use 3 cards cost 3 or less in Battle/Practice Mode
700037,7,7,6,0,monster|armor|equip|consume,4,2,4,1334,chest,44,1,resource,500001,10,Use 4 cards cost 4 or less in Battle/Practice Mode
700038,7,7,6,0,monster|armor|equip|consume,2,1,3,1334,chest,44,1,resource,500001,10,Use 3 cards cost 2 or more in Battle/Practice Mode
700039,7,7,6,0,monster|armor|equip|consume,3,1,2,1334,chest,44,1,resource,500001,10,Use 2 cards cost 3 or more in Battle/Practice Mode
700040,7,7,8,0,0,0,0,2,15000,chest,44,1,resource,500001,10,Win 2 matches in Advance Mode
800001,8,8,2,war,monster,2,0,1,334,chest,45,1,resource,500001,10,Summon 2 War clan cards(red) in Battle/Practice Mode and win
800002,8,8,2,fortune,monster,2,0,1,334,chest,45,1,resource,500001,10,Summon 2 Fortune clan cards(yellow) in Battle/Practice Mode and win
800003,8,8,2,balance,monster,2,0,1,334,chest,45,1,resource,500001,10,Summon 2 Balance clan cards(blue) in Battle/Practice Mode and win
800004,8,8,2,nature,monster,2,0,1,334,chest,45,1,resource,500001,10,Summon 2 Nature clan cards(green) in Battle/Practice Mode and win
800005,8,8,2,chaos,monster,2,0,1,334,chest,45,1,resource,500001,10,Summon 2 Chaos clan cards(purple) in Battle/Practice Mode and win
800006,8,8,2,war|fortune,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan monsters(red) or Fortune clan monsters(yellow) in Battle/Practice Mode and win
800007,8,8,2,war|balance,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan monsters(red) or Balance clan monsters(blue) in Battle/Practice Mode and win
800008,8,8,2,war|nature,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan monsters(red) or Nature clan monsters(green) in Battle/Practice Mode and win
800009,8,8,2,war|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan monsters(red) or Chaos clan monsters(purple) in Battle/Practice Mode and win
800010,8,8,2,fortune|balance,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortuen clan monsters(yellow) or Balance clan monsters(blue) in Battle/Practice Mode and win
800011,8,8,2,fortune|nature,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortuen clan monsters(yellow) or Nature clan monsters(green) in Battle/Practice Mode and win
800012,8,8,2,fortune|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortuen clan monsters(yellow) or Chaos clan monsters(purple) in Battle/Practice Mode and win
800013,8,8,2,balance|nature,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Balance clan monsters(blue) or Nature clan monsters(green) in Battle/Practice Mode and win
800014,8,8,2,balance|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Balance clan monsters(blue) or Chaos clan monsters(purple) in Battle/Practice Mode and win
800015,8,8,2,nature|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Nature clan monsters(green) or Chaos clan monsters(purple) in Battle/Practice Mode and win
800016,8,8,2,war,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,Use 2 War clan items(red) in Battle/Practice Mode and win
800017,8,8,2,fortune,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,Use 2 Fortune clan items(yellow) in Battle/Practice Mode and win
800018,8,8,2,balance,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,Use 2 Balance clan items(blue) in Battle/Practice Mode and win
800019,8,8,2,nature,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,Use 2 Nature clan items(green) in Battle/Practice Mode and win
800020,8,8,2,chaos,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,Use 2 Chaos clan items(purple) in Battle/Practice Mode and win
800021,8,8,2,all,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,Use 2 Neutral clan items(white) in Battle/Practice Mode and win
800022,8,8,2,war|fortune,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan items(red) or Fortune clan items(yellow) in Battle/Practice Mode and win
800023,8,8,2,war|balance,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan items(red) or Balance clan items(blue) in Battle/Practice Mode and win
800024,8,8,2,war|nature,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan items(red) or Nature clan items(green) in Battle/Practice Mode and win
800025,8,8,2,war|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan items(red) or Chaos clan items(purple) in Battle/Practice Mode and win
800026,8,8,2,war|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 War clan items(red) or Neutral clan items(white) in Battle/Practice Mode and win
800027,8,8,2,fortune|balance,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortune clan items(yellow) or Balance clan items(blue) in Battle/Practice Mode and win
800028,8,8,2,fortune|nature,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortune clan items(yellow) or Nature clan items(green) in Battle/Practice Mode and win
800029,8,8,2,fortune|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortune clan items(yellow) or Chaos clan items(purple) in Battle/Practice Mode and win
800030,8,8,2,fortune|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Fortune clan items(yellow) or Neutral clan items(white) in Battle/Practice Mode and win
800031,8,8,2,balance|nature,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Balance clan items(blue) or Nature clan items(green) in Battle/Practice Mode and win
800032,8,8,2,balance|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Balance clan items(blue) or Chaos clan items(purple) in Battle/Practice Mode and win
800033,8,8,2,balance|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Balance clan items(blue) or Neutral clan items(white) in Battle/Practice Mode and win
800034,8,8,2,nature|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Nature clan items(green) or Chaos clan items(purple) in Battle/Practice Mode and win
800035,8,8,2,nature|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Nature clan items(green) or Neutral clan items(white) in Battle/Practice Mode and win
800036,8,8,2,chaos|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,Use 3 Chaos clan items(purple) or Neutral clan items(white) in Battle/Practice Mode and win
800037,8,8,2,war,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,Use 4 War clan items(red) in Battle/Practice Mode and win
800038,8,8,2,fortune,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,Use 4 Fortune clan items(yellow) in Battle/Practice Mode and win
800039,8,8,2,balance,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,Use 4 Balance clan items(blue) in Battle/Practice Mode and win
800040,8,8,2,nature,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,Use 4 Nature clan items(green) in Battle/Practice Mode and win
800041,8,8,2,chaos,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,Use 4 Chaos clan items(purple) in Battle/Practice Mode and win
800042,8,8,2,all,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,Use 4 Neutral clan items(white) in Battle/Practice Mode and win
800043,8,8,2,war|fortune,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 War clan cards(red) or Fortune clan cards(yellow) in Battle/Practice Mode and win
800044,8,8,2,war|balance,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 War clan cards(red) or Balance clan cards(blue) in Battle/Practice Mode and win
800045,8,8,2,war|nature,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 War clan cards(red) or Nature clan cards(green) in Battle/Practice Mode and win
800046,8,8,2,war|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 War clan cards(red) or Chaos clan cards(purple) in Battle/Practice Mode and win
800047,8,8,2,war|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 War clan cards(red) or Neutral clan cards(white) in Battle/Practice Mode and win
800048,8,8,2,fortune|balance,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Fortune clan cards(yellow) or Balance clan cards(blue) in Battle/Practice Mode and win
800049,8,8,2,fortune|nature,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Fortune clan cards(yellow) or Nature clan cards(green) in Battle/Practice Mode and win
800050,8,8,2,fortune|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Fortune clan cards(yellow) or Chaos clan cards(purple) in Battle/Practice Mode and win
800051,8,8,2,fortune|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Fortune clan cards(yellow) or Neutral clan cards(white) in Battle/Practice Mode and win
800052,8,8,2,balance|nature,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Balance clan cards(blue) or Nature clan cards(green) in Battle/Practice Mode and win
800053,8,8,2,balance|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Balance clan cards(blue) or Chaos clan cards(purple) in Battle/Practice Mode and win
800054,8,8,2,balance|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Balance clan cards(blue) or Neutral clan cards(white) in Battle/Practice Mode and win
800055,8,8,2,nature|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Nature clan cards(green) or Chaos clan cards(purple) in Battle/Practice Mode and win
800056,8,8,2,nature|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Nature clan cards(green) or Neutral clan cards(white) in Battle/Practice Mode and win
800057,8,8,2,chaos|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,Use 5 Chaos clan cards(purple) or Neutral clan cards(white) in Battle/Practice Mode and win
800058,8,8,3,0,0,0,0,1,14962,chest,45,1,resource,500001,10,Win 1 match in Battle/Practice Mode
800059,8,8,4,0,0,0,0,6,15000,chest,45,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
800060,8,8,5,0,0,0,0,6,15000,chest,45,1,resource,500001,10,Use 6 items in Battle/Practice Mode
800061,8,8,6,0,monster,2,2,4,1000,chest,45,1,resource,500001,10,Summon 4 monsters cost 2 or less in Battle/Practice Mode
800062,8,8,6,0,monster,3,2,5,1000,chest,45,1,resource,500001,10,Summon 5 monsters cost 3 or less in Battle/Practice Mode
800063,8,8,6,0,monster,4,2,6,1000,chest,45,1,resource,500001,10,Summon 6 monsters cost 4 or less in Battle/Practice Mode
800064,8,8,6,0,monster,2,1,5,1000,chest,45,1,resource,500001,10,Summon 5 monsters cost 2 or more in Battle/Practice Mode
800065,8,8,6,0,monster,3,1,4,1000,chest,45,1,resource,500001,10,Summon 4 monsters cost 3 or more in Battle/Practice Mode
800066,8,8,6,0,monster,4,1,3,1000,chest,45,1,resource,500001,10,Summon 3 monsters cost 4 or more in Battle/Practice Mode
800067,8,8,3,0,0,0,0,1,1000,chest,45,1,resource,500001,10,Win 1 match in Battle/Practice Mode
800068,8,8,6,0,armor|equip|consume,2,2,4,1000,chest,45,1,resource,500001,10,Use 4 items cost 2 or less in Battle/Practice Mode
800069,8,8,6,0,armor|equip|consume,3,2,5,1000,chest,45,1,resource,500001,10,Use 5 items cost 3 or less in Battle/Practice Mode
800070,8,8,6,0,armor|equip|consume,4,2,6,1000,chest,45,1,resource,500001,10,Use 6 items cost 4 or less in Battle/Practice Mode
