ID,group_id,level,name,type,quality,kind,hp,flags,res_path,cost,score,deck_limit,p1n,p1v,p2n,p2v,p3n,p3v
110095,11009,5,Red Dragon,monster,epic,war,10,1,red_dragon,4,960,2,melee,1,thrash,4,cleave,4
110096,11009,6,Red Dragon,monster,epic,war,11,1,red_dragon,4,1120,2,melee,1,thrash,5,cleave,4
110097,11009,7,Red Dragon,monster,epic,war,11,1,red_dragon,4,1280,2,melee,1,thrash,5,cleave,5
110098,11009,8,Red Dragon,monster,epic,war,11,1,red_dragon,4,1440,2,melee,1,thrash,6,cleave,5
110101,11010,1,Twinaxe,monster,rare,war,5,1,twinaxe,3,80,2,melee,2,thrash,1,,
110102,11010,2,Twinaxe,monster,rare,war,6,1,twinaxe,3,120,2,melee,2,thrash,2,,
110103,11010,3,Twinaxe,monster,rare,war,7,1,twinaxe,3,160,2,melee,2,thrash,2,breaker,1
110104,11010,4,Twinaxe,monster,rare,war,8,1,twinaxe,3,200,2,melee,2,thrash,3,breaker,1
110105,11010,5,Twinaxe,monster,rare,war,9,1,twinaxe,3,240,2,melee,2,thrash,3,breaker,2
110106,11010,6,Twinaxe,monster,rare,war,10,1,twinaxe,3,280,2,melee,2,thrash,4,breaker,2
110111,11011,1,Whiterabbit,monster,epic,war,4,1,whiterabbit,2,320,2,melee,1,charge,1,,
110112,11011,2,Whiterabbit,monster,epic,war,5,1,whiterabbit,2,480,2,melee,1,charge,2,counter,1
110113,11011,3,Whiterabbit,monster,epic,war,6,1,whiterabbit,2,640,2,melee,1,charge,2,counter,2
110114,11011,4,Whiterabbit,monster,epic,war,7,1,whiterabbit,2,800,2,melee,1,charge,3,counter,2
110115,11011,5,Whiterabbit,monster,epic,war,8,1,whiterabbit,2,960,2,melee,1,charge,3,counter,3
110116,11011,6,Whiterabbit,monster,epic,war,8,1,whiterabbit,2,1120,2,melee,1,charge,4,counter,3
110117,11011,7,Whiterabbit,monster,epic,war,8,1,whiterabbit,2,1280,2,melee,1,charge,4,counter,4
110118,11011,8,Whiterabbit,monster,epic,war,8,1,whiterabbit,2,1440,2,melee,1,charge,5,counter,4
110121,11012,1,Kamicron,monster,rarity,war,5,1,kamicron,3,160,2,melee,1,rally,1,,
110122,11012,2,Kamicron,monster,rarity,war,6,1,kamicron,3,240,2,melee,1,rally,2,,
110123,11012,3,Kamicron,monster,rarity,war,7,1,kamicron,3,320,2,melee,1,rally,2,antimagic,1
110124,11012,4,Kamicron,monster,rarity,war,8,1,kamicron,3,400,2,melee,1,rally,3,antimagic,2
110125,11012,5,Kamicron,monster,rarity,war,9,1,kamicron,3,480,2,melee,1,rally,3,antimagic,2
110126,11012,6,Kamicron,monster,rarity,war,10,1,kamicron,3,560,2,melee,1,rally,4,antimagic,3
110127,11012,7,Kamicron,monster,rarity,war,10,1,kamicron,3,640,2,melee,1,rally,4,antimagic,3
110131,11013,1,Fisher Monger,monster,rarity,war,5,1,fisher_monger,3,160,2,melee,1,breaker,1,,
110132,11013,2,Fisher Monger,monster,rarity,war,6,1,fisher_monger,3,240,2,melee,1,breaker,2,,
110133,11013,3,Fisher Monger,monster,rarity,war,7,1,fisher_monger,3,320,2,melee,1,breaker,2,thrash,1
110134,11013,4,Fisher Monger,monster,rarity,war,8,1,fisher_monger,3,400,2,melee,1,breaker,3,thrash,2
110135,11013,5,Fisher Monger,monster,rarity,war,9,1,fisher_monger,3,480,2,melee,1,breaker,3,thrash,2
110136,11013,6,Fisher Monger,monster,rarity,war,10,1,fisher_monger,3,560,2,melee,1,breaker,4,thrash,3
110137,11013,7,Fisher Monger,monster,rarity,war,10,1,fisher_monger,3,640,2,melee,1,breaker,4,thrash,3
110141,11014,1,Cat Knight,monster,epic,war,5,1,cat_knight,3,320,2,melee,1,charge,1,,
110142,11014,2,Cat Knight,monster,epic,war,6,1,cat_knight,3,480,2,melee,1,charge,2,thrash,1
110143,11014,3,Cat Knight,monster,epic,war,7,1,cat_knight,3,640,2,melee,1,charge,2,thrash,2
110144,11014,4,Cat Knight,monster,epic,war,8,1,cat_knight,3,800,2,melee,1,charge,3,thrash,2
110145,11014,5,Cat Knight,monster,epic,war,9,1,cat_knight,3,960,2,melee,1,charge,3,thrash,3
110146,11014,6,Cat Knight,monster,epic,war,10,1,cat_knight,3,1120,2,melee,1,charge,4,thrash,3
110147,11014,7,Cat Knight,monster,epic,war,10,1,cat_knight,3,1280,2,melee,1,charge,4,thrash,4
110148,11014,8,Cat Knight,monster,epic,war,10,1,cat_knight,3,1440,2,melee,1,charge,5,thrash,4
110151,11015,1,Snoozemon,monster,rarity,war,5,1,snoozemon,3,160,2,melee,1,thrash,1,,
110152,11015,2,Snoozemon,monster,rarity,war,6,1,snoozemon,3,240,2,melee,1,thrash,2,,
110153,11015,3,Snoozemon,monster,rarity,war,7,1,snoozemon,3,320,2,melee,1,thrash,2,counter,1
110154,11015,4,Snoozemon,monster,rarity,war,8,1,snoozemon,3,400,2,melee,1,thrash,3,counter,2
110155,11015,5,Snoozemon,monster,rarity,war,9,1,snoozemon,3,480,2,melee,1,thrash,3,counter,2
110156,11015,6,Snoozemon,monster,rarity,war,10,1,snoozemon,3,560,2,melee,1,thrash,4,counter,3
110157,11015,7,Snoozemon,monster,rarity,war,10,1,snoozemon,3,640,2,melee,1,thrash,4,counter,3
110161,11016,1,Fr.Silence,monster,normal,war,5,1,fr_silence,3,40,2,melee,2,antimagic,1,,
110162,11016,2,Fr.Silence,monster,normal,war,6,1,fr_silence,3,60,2,melee,2,antimagic,1,,
110163,11016,3,Fr.Silence,monster,normal,war,7,1,fr_silence,3,80,2,melee,2,antimagic,2,,
110164,11016,4,Fr.Silence,monster,normal,war,8,1,fr_silence,3,100,2,melee,2,antimagic,2,,
110165,11016,5,Fr.Silence,monster,normal,war,9,1,fr_silence,3,120,2,melee,2,antimagic,3,,
110171,11017,1,Triglodite Marauders,monster,normal,war,6,1,triglodite_marauders,4,40,2,melee,3,charge,2,,
110172,11017,2,Triglodite Marauders,monster,normal,war,7,1,triglodite_marauders,4,60,2,melee,3,charge,2,,
110173,11017,3,Triglodite Marauders,monster,normal,war,8,1,triglodite_marauders,4,80,2,melee,3,charge,3,,
110174,11017,4,Triglodite Marauders,monster,normal,war,9,1,triglodite_marauders,4,100,2,melee,3,charge,3,,
110175,11017,5,Triglodite Marauders,monster,normal,war,10,1,triglodite_marauders,4,120,2,melee,3,charge,4,,
110181,11018,1,Barrier Knight,monster,rare,war,4,1,barrier_knight,2,80,2,melee,2,shield,1,,
110182,11018,2,Barrier Knight,monster,rare,war,5,1,barrier_knight,2,120,2,melee,2,shield,2,,
110183,11018,3,Barrier Knight,monster,rare,war,6,1,barrier_knight,2,160,2,melee,2,shield,2,breaker,1
110184,11018,4,Barrier Knight,monster,rare,war,7,1,barrier_knight,2,200,2,melee,2,shield,3,breaker,1
110185,11018,5,Barrier Knight,monster,rare,war,8,1,barrier_knight,2,240,2,melee,2,shield,3,breaker,2
110186,11018,6,Barrier Knight,monster,rare,war,8,1,barrier_knight,2,280,2,melee,2,shield,4,breaker,2
110191,11019,1,Eagle Archer,monster,rare,war,6,1,eagle_archer,4,80,2,ranged,3,rally,2,,
110192,11019,2,Eagle Archer,monster,rare,war,7,1,eagle_archer,4,120,2,ranged,3,rally,3,,
110193,11019,3,Eagle Archer,monster,rare,war,8,1,eagle_archer,4,160,2,ranged,3,rally,3,breaker,2
110194,11019,4,Eagle Archer,monster,rare,war,9,1,eagle_archer,4,200,2,ranged,3,rally,4,breaker,2
110195,11019,5,Eagle Archer,monster,rare,war,10,1,eagle_archer,4,240,2,ranged,3,rally,4,breaker,3
110196,11019,6,Eagle Archer,monster,rare,war,11,1,eagle_archer,4,280,2,ranged,3,rally,5,breaker,3
120011,12001,1,Lost Drums,monster,normal,fortune,5,1,lost_drums,3,40,2,ranged,2,stealth,1,,
120012,12001,2,Lost Drums,monster,normal,fortune,6,1,lost_drums,3,60,2,ranged,2,stealth,1,,
120013,12001,3,Lost Drums,monster,normal,fortune,7,1,lost_drums,3,80,2,ranged,2,stealth,2,,
120014,12001,4,Lost Drums,monster,normal,fortune,8,1,lost_drums,3,100,2,ranged,2,stealth,2,,
120015,12001,5,Lost Drums,monster,normal,fortune,9,1,lost_drums,3,120,2,ranged,2,stealth,3,,
120021,12002,1,Dust Maiden,monster,normal,fortune,4,1,dust_maiden,2,40,2,ranged,2,reflect,1,,
120022,12002,2,Dust Maiden,monster,normal,fortune,5,1,dust_maiden,2,60,2,ranged,2,reflect,1,,
120023,12002,3,Dust Maiden,monster,normal,fortune,6,1,dust_maiden,2,80,2,ranged,2,reflect,2,,
120024,12002,4,Dust Maiden,monster,normal,fortune,7,1,dust_maiden,2,100,2,ranged,2,reflect,2,,
120025,12002,5,Dust Maiden,monster,normal,fortune,8,1,dust_maiden,2,120,2,ranged,2,reflect,3,,
120031,12003,1,Notarat,monster,normal,fortune,4,1,notarat,2,40,2,melee,2,counter,1,,
120032,12003,2,Notarat,monster,normal,fortune,5,1,notarat,2,60,2,melee,2,counter,1,,
120033,12003,3,Notarat,monster,normal,fortune,6,1,notarat,2,80,2,melee,2,counter,2,,
120034,12003,4,Notarat,monster,normal,fortune,7,1,notarat,2,100,2,melee,2,counter,2,,
120035,12003,5,Notarat,monster,normal,fortune,8,1,notarat,2,120,2,melee,2,counter,3,,
120041,12004,1,Tux Shooter,monster,rare,fortune,4,1,tux_shooter,2,80,2,ranged,2,charge,1,,
120042,12004,2,Tux Shooter,monster,rare,fortune,5,1,tux_shooter,2,120,2,ranged,2,charge,2,,
120043,12004,3,Tux Shooter,monster,rare,fortune,6,1,tux_shooter,2,160,2,ranged,2,charge,2,stealth,1
120044,12004,4,Tux Shooter,monster,rare,fortune,7,1,tux_shooter,2,200,2,ranged,2,charge,3,stealth,1
120045,12004,5,Tux Shooter,monster,rare,fortune,8,1,tux_shooter,2,240,2,ranged,2,charge,3,stealth,2
120046,12004,6,Tux Shooter,monster,rare,fortune,8,1,tux_shooter,2,280,2,ranged,2,charge,4,stealth,2
120051,12005,1,Leezard,monster,rare,fortune,5,1,leezard,3,80,2,melee,2,counter,1,,
120052,12005,2,Leezard,monster,rare,fortune,6,1,leezard,3,120,2,melee,2,counter,2,,
120053,12005,3,Leezard,monster,rare,fortune,7,1,leezard,3,160,2,melee,2,counter,2,reflect,1
120054,12005,4,Leezard,monster,rare,fortune,8,1,leezard,3,200,2,melee,2,counter,3,reflect,1
120055,12005,5,Leezard,monster,rare,fortune,9,1,leezard,3,240,2,melee,2,counter,3,reflect,2
120056,12005,6,Leezard,monster,rare,fortune,10,1,leezard,3,280,2,melee,2,counter,4,reflect,2
120061,12006,1,Abobinable,monster,rare,fortune,6,1,abobinable,4,80,2,melee,3,charge,2,,
120062,12006,2,Abobinable,monster,rare,fortune,7,1,abobinable,4,120,2,melee,3,charge,3,,
120063,12006,3,Abobinable,monster,rare,fortune,8,1,abobinable,4,160,2,melee,3,charge,3,counter,2
120064,12006,4,Abobinable,monster,rare,fortune,9,1,abobinable,4,200,2,melee,3,charge,4,counter,2
120065,12006,5,Abobinable,monster,rare,fortune,10,1,abobinable,4,240,2,melee,3,charge,4,counter,3
120066,12006,6,Abobinable,monster,rare,fortune,11,1,abobinable,4,280,2,melee,3,charge,5,counter,3
120071,12007,1,Ninjafox,monster,rarity,fortune,4,1,ninjafox,2,160,2,melee,1,stealth,1,,
120072,12007,2,Ninjafox,monster,rarity,fortune,5,1,ninjafox,2,240,2,melee,1,stealth,2,,
120073,12007,3,Ninjafox,monster,rarity,fortune,6,1,ninjafox,2,320,2,melee,1,stealth,2,counter,1
120074,12007,4,Ninjafox,monster,rarity,fortune,7,1,ninjafox,2,400,2,melee,1,stealth,3,counter,2
120075,12007,5,Ninjafox,monster,rarity,fortune,8,1,ninjafox,2,480,2,melee,1,stealth,3,counter,2
120076,12007,6,Ninjafox,monster,rarity,fortune,8,1,ninjafox,2,560,2,melee,1,stealth,4,counter,3
120077,12007,7,Ninjafox,monster,rarity,fortune,8,1,ninjafox,2,640,2,melee,1,stealth,4,counter,3
120081,12008,1,Ninjutsurtle,monster,rarity,fortune,6,1,ninjutsurtle,4,160,2,melee,2,shield,2,,
120082,12008,2,Ninjutsurtle,monster,rarity,fortune,7,1,ninjutsurtle,4,320,2,melee,2,shield,3,,
120083,12008,3,Ninjutsurtle,monster,rarity,fortune,8,1,ninjutsurtle,4,480,2,melee,2,shield,3,counter,2
120084,12008,4,Ninjutsurtle,monster,rarity,fortune,9,1,ninjutsurtle,4,640,2,melee,2,shield,4,counter,3
120085,12008,5,Ninjutsurtle,monster,rarity,fortune,10,1,ninjutsurtle,4,800,2,melee,2,shield,4,counter,3
120086,12008,6,Ninjutsurtle,monster,rarity,fortune,11,1,ninjutsurtle,4,960,2,melee,2,shield,5,counter,4
120087,12008,7,Ninjutsurtle,monster,rarity,fortune,11,1,ninjutsurtle,4,160,2,melee,2,shield,5,counter,4
120091,12009,1,Lazydragon,monster,epic,fortune,7,1,lazydragon,5,320,2,magic,2,reflect,2,,
120092,12009,2,Lazydragon,monster,epic,fortune,8,1,lazydragon,5,480,2,magic,2,reflect,3,mshield,2
120093,12009,3,Lazydragon,monster,epic,fortune,9,1,lazydragon,5,640,2,magic,2,reflect,3,mshield,3
120094,12009,4,Lazydragon,monster,epic,fortune,10,1,lazydragon,5,800,2,magic,2,reflect,4,mshield,3
120095,12009,5,Lazydragon,monster,epic,fortune,11,1,lazydragon,5,960,2,magic,2,reflect,4,mshield,4
120096,12009,6,Lazydragon,monster,epic,fortune,12,1,lazydragon,5,1120,2,magic,2,reflect,5,mshield,4
120097,12009,7,Lazydragon,monster,epic,fortune,13,1,lazydragon,5,1280,2,magic,2,reflect,5,mshield,5
120098,12009,8,Lazydragon,monster,epic,fortune,13,1,lazydragon,5,1440,2,magic,2,reflect,6,mshield,5
120101,12010,1,Flying Carpet,monster,rare,fortune,4,1,flying_carpet,2,80,2,ranged,2,stealth,1,,
120102,12010,2,Flying Carpet,monster,rare,fortune,5,1,flying_carpet,2,120,2,ranged,2,stealth,2,,
120103,12010,3,Flying Carpet,monster,rare,fortune,6,1,flying_carpet,2,160,2,ranged,2,stealth,2,reach,1
120104,12010,4,Flying Carpet,monster,rare,fortune,7,1,flying_carpet,2,200,2,ranged,2,stealth,3,reach,1
120105,12010,5,Flying Carpet,monster,rare,fortune,8,1,flying_carpet,2,240,2,ranged,2,stealth,3,reach,2
120106,12010,6,Flying Carpet,monster,rare,fortune,8,1,flying_carpet,2,280,2,ranged,2,stealth,4,reach,2
120111,12011,1,Crocodime,monster,rarity,fortune,4,1,crocodime,2,160,2,melee,1,counter,1,,
120112,12011,2,Crocodime,monster,rarity,fortune,5,1,crocodime,2,240,2,melee,1,counter,2,,
120113,12011,3,Crocodime,monster,rarity,fortune,6,1,crocodime,2,320,2,melee,1,counter,2,drain_crystal,1
120114,12011,4,Crocodime,monster,rarity,fortune,7,1,crocodime,2,400,2,melee,1,counter,3,drain_crystal,2
120115,12011,5,Crocodime,monster,rarity,fortune,8,1,crocodime,2,480,2,melee,1,counter,3,drain_crystal,2
120116,12011,6,Crocodime,monster,rarity,fortune,8,1,crocodime,2,560,2,melee,1,counter,4,drain_crystal,3
120117,12011,7,Crocodime,monster,rarity,fortune,8,1,crocodime,2,640,2,melee,1,counter,4,drain_crystal,3
120121,12012,1,Chimpbow,monster,rarity,fortune,5,1,chimpbow,3,160,2,ranged,1,stealth,1,,
120122,12012,2,Chimpbow,monster,rarity,fortune,6,1,chimpbow,3,240,2,ranged,1,stealth,2,,
120123,12012,3,Chimpbow,monster,rarity,fortune,7,1,chimpbow,3,320,2,ranged,1,stealth,2,breaker,1
120124,12012,4,Chimpbow,monster,rarity,fortune,8,1,chimpbow,3,400,2,ranged,1,stealth,3,breaker,2
120125,12012,5,Chimpbow,monster,rarity,fortune,9,1,chimpbow,3,480,2,ranged,1,stealth,3,breaker,2
120126,12012,6,Chimpbow,monster,rarity,fortune,10,1,chimpbow,3,560,2,ranged,1,stealth,4,breaker,3
120127,12012,7,Chimpbow,monster,rarity,fortune,10,1,chimpbow,3,640,2,ranged,1,stealth,4,breaker,3
120131,12013,1,Griffin,monster,rarity,fortune,5,1,griffin,3,160,2,melee,1,charge,1,,
120132,12013,2,Griffin,monster,rarity,fortune,6,1,griffin,3,240,2,melee,1,charge,2,,
120133,12013,3,Griffin,monster,rarity,fortune,7,1,griffin,3,320,2,melee,1,charge,2,counter,1
120134,12013,4,Griffin,monster,rarity,fortune,8,1,griffin,3,400,2,melee,1,charge,3,counter,2
120135,12013,5,Griffin,monster,rarity,fortune,9,1,griffin,3,480,2,melee,1,charge,3,counter,2
120136,12013,6,Griffin,monster,rarity,fortune,10,1,griffin,3,560,2,melee,1,charge,4,counter,3
120137,12013,7,Griffin,monster,rarity,fortune,10,1,griffin,3,640,2,melee,1,charge,4,counter,3
120141,12014,1,Pirate Lobster,monster,epic,fortune,6,1,pirate_lobster,4,320,2,melee,1,drain_crystal,2,,
120142,12014,2,Pirate Lobster,monster,epic,fortune,7,1,pirate_lobster,4,480,2,melee,1,drain_crystal,3,counter,2
120143,12014,3,Pirate Lobster,monster,epic,fortune,8,1,pirate_lobster,4,640,2,melee,1,drain_crystal,3,counter,3
120144,12014,4,Pirate Lobster,monster,epic,fortune,9,1,pirate_lobster,4,800,2,melee,1,drain_crystal,4,counter,3
120145,12014,5,Pirate Lobster,monster,epic,fortune,10,1,pirate_lobster,4,960,2,melee,1,drain_crystal,4,counter,4
120146,12014,6,Pirate Lobster,monster,epic,fortune,11,1,pirate_lobster,4,1120,2,melee,1,drain_crystal,5,counter,4
120147,12014,7,Pirate Lobster,monster,epic,fortune,11,1,pirate_lobster,4,1280,2,melee,1,drain_crystal,5,counter,5
120148,12014,8,Pirate Lobster,monster,epic,fortune,11,1,pirate_lobster,4,1440,2,melee,1,drain_crystal,6,counter,5
120151,12015,1,Boocan,monster,epic,fortune,4,1,boocan,2,320,2,ranged,1,stealth,1,,
120152,12015,2,Boocan,monster,epic,fortune,5,1,boocan,2,480,2,ranged,1,stealth,2,counter,1
120153,12015,3,Boocan,monster,epic,fortune,6,1,boocan,2,640,2,ranged,1,stealth,2,counter,2
120154,12015,4,Boocan,monster,epic,fortune,7,1,boocan,2,800,2,ranged,1,stealth,3,counter,2
120155,12015,5,Boocan,monster,epic,fortune,8,1,boocan,2,960,2,ranged,1,stealth,3,counter,3
120156,12015,6,Boocan,monster,epic,fortune,8,1,boocan,2,1120,2,ranged,1,stealth,4,counter,3
120157,12015,7,Boocan,monster,epic,fortune,8,1,boocan,2,1280,2,ranged,1,stealth,4,counter,4
120158,12015,8,Boocan,monster,epic,fortune,8,1,boocan,2,1440,2,ranged,1,stealth,5,counter,4
120161,12016,1,Magic Carpet,monster,normal,fortune,5,1,magic_carpet,3,40,2,ranged,2,reach,1,,
120162,12016,2,Magic Carpet,monster,normal,fortune,6,1,magic_carpet,3,60,2,ranged,2,reach,1,,
120163,12016,3,Magic Carpet,monster,normal,fortune,7,1,magic_carpet,3,80,2,ranged,2,reach,2,,
120164,12016,4,Magic Carpet,monster,normal,fortune,8,1,magic_carpet,3,100,2,ranged,2,reach,2,,
120165,12016,5,Magic Carpet,monster,normal,fortune,9,1,magic_carpet,3,120,2,ranged,2,reach,3,,
120171,12017,1,Qigong Leezard,monster,normal,fortune,5,1,qigong_leezard,3,40,2,melee,2,reflect,1,,
120172,12017,2,Qigong Leezard,monster,normal,fortune,6,1,qigong_leezard,3,60,2,melee,2,reflect,1,,
120173,12017,3,Qigong Leezard,monster,normal,fortune,7,1,qigong_leezard,3,80,2,melee,2,reflect,2,,
120174,12017,4,Qigong Leezard,monster,normal,fortune,8,1,qigong_leezard,3,100,2,melee,2,reflect,2,,
120175,12017,5,Qigong Leezard,monster,normal,fortune,9,1,qigong_leezard,3,120,2,melee,2,reflect,3,,
120181,12018,1,Mad Crocodime,monster,rare,fortune,5,1,mad_crocodime,3,80,2,melee,2,counter,1,,
120182,12018,2,Mad Crocodime,monster,rare,fortune,6,1,mad_crocodime,3,120,2,melee,2,counter,2,,
120183,12018,3,Mad Crocodime,monster,rare,fortune,7,1,mad_crocodime,3,160,2,melee,2,counter,2,drain_crystal,1
120184,12018,4,Mad Crocodime,monster,rare,fortune,8,1,mad_crocodime,3,200,2,melee,2,counter,3,drain_crystal,1
120185,12018,5,Mad Crocodime,monster,rare,fortune,9,1,mad_crocodime,3,240,2,melee,2,counter,3,drain_crystal,2
120186,12018,6,Mad Crocodime,monster,rare,fortune,10,1,mad_crocodime,3,280,2,melee,2,counter,4,drain_crystal,2
120191,12019,1,Breaker,monster,rare,fortune,6,1,breaker,4,80,2,ranged,3,breaker,2,,
120192,12019,2,Breaker,monster,rare,fortune,7,1,breaker,4,120,2,ranged,3,breaker,3,,
120193,12019,3,Breaker,monster,rare,fortune,8,1,breaker,4,160,2,ranged,3,breaker,3,stealth,2
120194,12019,4,Breaker,monster,rare,fortune,9,1,breaker,4,200,2,ranged,3,breaker,4,stealth,2
120195,12019,5,Breaker,monster,rare,fortune,10,1,breaker,4,240,2,ranged,3,breaker,4,stealth,3
120196,12019,6,Breaker,monster,rare,fortune,11,1,breaker,4,280,2,ranged,3,breaker,5,stealth,3
130011,13001,1,Sharp Flake,monster,normal,balance,4,1,sharp_flake,2,40,2,magic,2,shield,1,,
130012,13001,2,Sharp Flake,monster,normal,balance,5,1,sharp_flake,2,60,2,magic,2,shield,1,,
130013,13001,3,Sharp Flake,monster,normal,balance,6,1,sharp_flake,2,80,2,magic,2,shield,2,,
130014,13001,4,Sharp Flake,monster,normal,balance,7,1,sharp_flake,2,100,2,magic,2,shield,2,,
130015,13001,5,Sharp Flake,monster,normal,balance,8,1,sharp_flake,2,120,2,magic,2,shield,3,,
130021,13002,1,Ghostshield,monster,normal,balance,5,1,ghostshield,3,40,2,magic,2,mshield,1,,
130022,13002,2,Ghostshield,monster,normal,balance,6,1,ghostshield,3,60,2,magic,2,mshield,1,,
130023,13002,3,Ghostshield,monster,normal,balance,7,1,ghostshield,3,80,2,magic,2,mshield,2,,
