类型,索引,替换目标,文本值(简中）
editer,interface/deck/filter_panel.csb,filter_panel.filter2.title,卡牌颜色
editer,interface/deck/filter_panel.csb,filter_panel.filter3.checkbox1.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter3.title,水晶消耗
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox1.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox2.desc,普通
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox3.desc,罕见
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox4.desc,史诗
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox5.desc,传说
editer,interface/deck/filter_panel.csb,filter_panel.filter4.title,卡牌品质
editer,interface/deck/levellist_panel.csb,bg.head.cost.cost_desc,卡费
editer,interface/deck/levelup_panel.csb,node.detailbg.title.name,升级所需材料
editer,interface/deck/levelup_panel.csb,node.title,升级卡牌
editer,interface/deck/resolve_panel.csb,node.detailbg.confirm_btn.desc,确认
editer,interface/deck/resolve_panel.csb,node.detailbg.desc,分解该卡牌将获得如下素材，是否确认分解？
editer,interface/deck/resolve_panel.csb,node.title,分解卡牌
editer,interface/deck/resolve_panel.csb,node.detailbg.title.name,可分解得到
editer,interface/download_panel.csb,loading_bg.desc,更新到版本
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn1.desc,搜索好友
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn2.desc,待开放
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn3.desc,待开放
editer,interface/friend/friend_add_panel.csb,msgbox.the_bg.find_node.result.result1,无搜索结果
editer,interface/friend/friend_add_panel.csb,msgbox.the_bg.find_node.result.result2.confirm_btn.desc,发送好友申请
editer,interface/friend/friend_add_panel.csb,msgbox.titlebg.title,添加好友
editer,interface/friend/friend_chat_panel.csb,msgbox.chat_node.enter_btn.desc,发送
editer,interface/friend/friend_chat_panel.csb,msgbox.titlebg.title,好友
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.add_btn.desc,+好友
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.message_btn.desc,通知
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.page_btn2.desc,待开放
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.template.the_normal_node.fight_btn.desc,切磋
editer,interface/friend/friend_list_panel.csb,msgbox.titlebg.title,好友
editer,interface/friend/friend_message_panel.csb,node.desc,不再接受好友申请
editer,interface/friend/friend_message_panel.csb,node.template.cancel_btn.desc,拒绝
editer,interface/friend/friend_message_panel.csb,node.template.confirm_btn.desc,同意
editer,interface/friend/friend_message_panel.csb,node.titlebg.title,通知
editer,interface/friend/friend_panel.csb,msgbox.chat_node.textfield,点击输入
editer,interface/ladder/intro_list_panel.csb,template.reward_desc,赛季末奖励
editer,interface/ladder/intro_list_panel.csb,title,天梯段位一览
editer,interface/ladder/ladder_panel.csb,info_desc,天梯赛规则
editer,interface/login_panel.csb,login_btn.other.desc,Game Center登录
editer,interface/login_panel.csb,logo.start_txt,点击开始
editer,interface/login_panel.csb,npc.bubblebg.desc,来一盘Card Monsters吧！
editer,interface/login_panel.csb,tip,欢迎加入《卡片怪兽》玩家群：512320709\n群内活动丰富，基友众多，欢迎萌新&大佬
editer,interface/mail/mailbox_panel.csb,node.mail_detailbg.confirm_btn.desc,领取奖励
editer,interface/mail/mailbox_panel.csb,node.mail_detailbg.read_icon.desc,已阅
editer,interface/mail/mailbox_panel.csb,node.mail_template.read_icon.desc,已阅
editer,interface/mail/mailbox_panel.csb,node.title,鹦鹉快讯
editer,interface/pve/main_pve_list.csb,pve_list.template1.name,鼠潮来袭
editer,interface/pve/main_pve_list.csb,pvelist.template1.name,鼠潮来袭
editer,interface/pve/main_pve_list.csb,pvelist.template2.name,怪兽靶场
editer,interface/pve/pve_cardgroup_panel.csb,node.cardgroup_list.cardgroup_btn2,我的牌组
editer,interface/pve/pve_cardgroup_panel.csb,node.times.desc,今日剩余次数
editer,interface/pve/pve_panel.csb,level_info.level_list.level_template.lock_node.desc,需通过上一难度
editer,interface/pve/pve_panel.csb,level_info.level_list.level_template.unfinished_node.reward_desc,通关奖励
editer,interface/setting/account_panel.csb,msgbox.desc,请关联第三方账号保存您的游戏进度，这样您可以在任意设备上玩卡片怪兽了
editer,interface/setting/account_panel.csb,msgbox.titlebg.title,账号关联
editer,interface/setting/account_panel.csb,msgbox.transform_btn.desc,切换账号
editer,interface/setting/cdkey_panel.csb,msgbox.confirm_btn.desc,确认
editer,interface/setting/cdkey_panel.csb,msgbox.titlebg.title,兑换礼品码
editer,interface/setting/global_setting_panel.csb,msgbox.login_btn.btn2.desc,兑换礼品码
editer,interface/setting/global_setting_panel.csb,msgbox.login_btn.btn3.desc,账号关联
editer,interface/setting/global_setting_panel.csb,msgbox.titlebg.title,设置
editer,interface/task/task_normal_node.csb,normal_node.title1,任务目标
editer,interface/task/task_normal_node.csb,normal_node.title2,任务奖励
editer,interface/task/task_normal_node.csb,normal_node.transform_btn.desc,刷新
editer,interface/task/task_panel.csb,msgbox.page_btn2.desc,任务
editer,interface/task/task_panel.csb,node.titlebg.title,任务
editer,interface/task/task_waiting_node.csb,waitting_node.title,接到下个任务还需
editer,interface/world/deck_panel.csb,cardbook.book.page.title,我的牌本
editer,interface/world/deck_panel.csb,cardbook_btn.desc,我的收藏
editer,interface/world/deck_panel.csb,create_btn.desc,制造卡牌
editer,interface/world/deck_panel.csb,create_node.node.bg.desc1,怪兽粉末
editer,interface/world/deck_panel.csb,create_node.node.bg2.desc1,道具粉末
editer,interface/world/deck_panel.csb,create_node.node.topbg.title,制造卡牌
editer,interface/world/friendfight_panel.csb,msgbox.step1.champion_desc,获得冠军次数
editer,interface/world/friendfight_panel.csb,msgbox.step1.create_btn.desc,创建比赛房间
editer,interface/world/friendfight_panel.csb,msgbox.step1.desc,每个房间满足4人参加方可开战；4人随机两两配对进行半决赛，失败的2人退出房间，胜利的2人留在房间继续进行决赛决出冠军。
editer,interface/world/friendfight_panel.csb,msgbox.step1.enter_btn.desc,加入
editer,interface/world/friendfight_panel.csb,msgbox.step1.textfield,请输入房间编号
editer,interface/world/friendfight_panel.csb,msgbox.step2.copy_btn.desc,退出比赛房间
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot1.enter_node.fight_desc,对战中
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot2.enter_node.fight_desc,对战中
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot3.enter_node.fight_desc,对战中
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot4.enter_node.fight_desc,对战中
editer,interface/world/help_btn.csb,setting.desc,新手帮助
editer,interface/world/help_btn.csb,helpbtn.desc,新手帮助
editer,interface/world/help_panel.csb,back_btn.desc,返回
editer,interface/world/help_panel.csb,pageview.page0.desc1,问与答 1
editer,interface/world/help_panel.csb,pageview.page0.desc2,问：为什么不能取名字？而是随机ID？\n答：目前由于没有账号系统，所以采用了直接进入游戏，随机分配ID的形式。我们会考虑增加玩家可自己起名的系统。\n\n问：为什么没有新手引导？\n答：由于《卡片怪兽》还处于测试阶段，众多核心玩法还没实装。按照基本流程，每个核心玩法都应该有相应的新手引导，所以目前暂时
editer,interface/world/help_panel.csb,pageview.page1.desc1,左边是物品卡
editer,interface/world/help_panel.csb,pageview.page1.desc2,右边是怪兽卡
editer,interface/world/help_panel.csb,pageview.page1.desc3,剩余数量
editer,interface/world/help_panel.csb,pageview.page1.desc4,自己
editer,interface/world/help_panel.csb,pageview.page1.desc5,卡牌分为怪兽卡与物品卡（装备卡与消耗卡）。只有怪兽能上场，装备卡必须装备在同色的怪兽上
editer,interface/world/help_panel.csb,pageview.page2.desc1,自己
editer,interface/world/help_panel.csb,pageview.page2.desc2,接口下方的献祭按钮，可以把自己的卡牌献祭，以获得更多的水晶
editer,interface/world/help_panel.csb,pageview.page3.desc1,对手
editer,interface/world/help_panel.csb,pageview.page3.desc2,开始键
editer,interface/world/help_panel.csb,pageview.page3.desc3,当怪兽放好后，点击战斗图示就可以进行攻击。如果场上没有怪兽而点击开始键，就会受到“惩罚”
editer,interface/world/help_panel.csb,pageview.page4.desc1,对手
editer,interface/world/help_panel.csb,pageview.page4.desc2,剩余怪兽
editer,interface/world/help_panel.csb,pageview.page4.desc3,对手怪兽剩余数量
editer,interface/world/help_panel.csb,pageview.page4.desc4,游戏为回合制，直到一方的怪兽卡全部被消灭，分出胜负
editer,interface/world/help_panel.csb,pageview.page5.desc1,对手
editer,interface/world/help_panel.csb,pageview.page5.desc2,前排
editer,interface/world/help_panel.csb,pageview.page5.desc3,后排
editer,interface/world/help_panel.csb,pageview.page5.desc4,后排
editer,interface/world/help_panel.csb,pageview.page5.desc5,前排
editer,interface/world/help_panel.csb,pageview.page5.desc6,后排
editer,interface/world/help_panel.csb,pageview.page5.desc7,后排
editer,interface/world/help_panel.csb,pageview.page5.desc8,自己
editer,interface/world/help_panel.csb,pageview.page5.desc9,近战只有在1号位才能进攻对方1号位目标
editer,interface/world/help_panel.csb,pageview.page6.desc1,对手
editer,interface/world/help_panel.csb,pageview.page6.desc2,前排
editer,interface/world/help_panel.csb,pageview.page6.desc3,后排
editer,interface/world/help_panel.csb,pageview.page6.desc4,后排
editer,interface/world/help_panel.csb,pageview.page6.desc5,前排
editer,interface/world/help_panel.csb,pageview.page6.desc6,后排
editer,interface/world/help_panel.csb,pageview.page6.desc7,后排
editer,interface/world/help_panel.csb,pageview.page6.desc8,自己
editer,interface/world/help_panel.csb,pageview.page6.desc9,远程只有在2号位和3号位才能进攻他的攻击目标有固定的优先级(图中的1-2-3）
editer,interface/world/help_panel.csb,pageview.page7.desc1,对手
editer,interface/world/help_panel.csb,pageview.page7.desc2,前排
editer,interface/world/help_panel.csb,pageview.page7.desc3,后排
editer,interface/world/help_panel.csb,pageview.page7.desc4,后排
editer,interface/world/help_panel.csb,pageview.page7.desc5,前排
editer,interface/world/help_panel.csb,pageview.page7.desc6,后排
editer,interface/world/help_panel.csb,pageview.page7.desc7,后排
editer,interface/world/help_panel.csb,pageview.page7.desc8,自己
editer,interface/world/help_panel.csb,pageview.page7.desc9,魔法攻击可以在任何位置进行攻击魔法的攻击优先是在正对面，如果对面没有目标就会攻击侧面的目标
editer,interface/world/help_panel.csb,pageview.page8.desc1,对手
editer,interface/world/help_panel.csb,pageview.page8.desc2,近战或弓箭攻击会优先对“护甲”造成相应的伤害魔法攻击会无视护甲直接造成伤害
editer,interface/world/help_panel.csb,pageview.page9.desc1,问与答 2
editer,interface/world/help_panel.csb,pageview.page9.desc2,问：为什么任务以外的战斗无法获得卡包？\n答：目前由于其他玩法和系统还未上线，所以各位勇者只能每天8点和20点通过酒馆老板娘发布的任务来获得卡包。之后等到其他玩法和系统上线之后，勇者们获得卡包的途径将增多！\n\n问：为什么战斗无法获得经验、金币和其他素材？\n答：我们非常了解勇者您迫切想要LVUP，并且打败大魔
editer,interface/world/help_panel.csb,title,简易新手帮助
editer,interface/world/ladder_panel.csb,node.info_desc,每小时刷新一次排名
editer,interface/world/ladder_panel.csb,node.page_btn1.desc,全球榜
editer,interface/world/ladder_panel.csb,node.page_btn2.desc,好友榜
editer,interface/world/ladder_panel.csb,node.titlebg.title,排行榜
editer,interface/world/ladder_panel.csb,node.top_btn.desc,回到顶部
editer,interface/world/main_panel.csb,achievement.desc,成就
editer,interface/world/main_panel.csb,cardbag.desc,补充包
editer,interface/world/main_panel.csb,cardbook.desc,我的牌本
editer,interface/world/main_panel.csb,community.desc,小区
editer,interface/world/main_panel.csb,event.tip,约战房
editer,interface/world/main_panel.csb,friend.desc,好友
editer,interface/world/main_panel.csb,ladder.desc,排行榜
editer,interface/world/main_panel.csb,mailbox.desc,鹦鹉快讯
editer,interface/world/main_panel.csb,pvebtn.desc,冒险
editer,interface/world/main_panel.csb,pvpbtn.desc,匹配战斗
editer,interface/world/main_panel.csb,reward_tip.desc,每日奖励
editer,interface/world/main_panel.csb,setting.desc,设置
editer,interface/world/main_panel.csb,setting2.desc,设置
editer,interface/world/main_panel.csb,task.desc,任务板
editer,interface/world/main_panel.csb,task.desc,任务
editer,interface/world/main_panel.csb,tip,一群已满，欢迎加入测试二群：579381004
editer,interface/world/match_panel.csb,msgbox.bubble_bg.desc,决定就是你了！
editer,interface/world/match_panel.csb,msgbox.desc,寻找对手中...
editer,interface/battle/battle_end2/mvp_node.csb,panel.title,全场最佳
editer,interface/battle/battle_end2/reward_template.csb,panel.title,奖励
text,lost_connection,,服务器连接中断
text,unconnected,,服务器未连接
text,send_time_out,,操作请求超时
text,battle_pvp_text,,第%d回合
text,own_monster_num,,怪兽%d
text,own_item_num,,装备%d
text,battle_started,,准备开始
text,card_type_monster,,怪兽卡
text,card_type_armor,,护甲卡
text,card_type_equip,,武器卡
text,card_type_consume,,消耗卡
text,operation_card_level_up,,可升%d张卡
text,operation_card_detail,,卡牌明细
text,fight_deck_name,,战斗卡组 %d
text,arena_stage_wait_desc,,匹配对战
text,arena_stage_match_desc,,取消匹配
text,sacrifice_error,,每回合仅能献祭一次
text,deck_is_null,,卡组不存在
text,card_is_null,,卡牌不存在
text,card_config_is_null,,卡牌数据不存在
text,deck_monster_full,,加入怪兽卡组失败
text,deck_item_full,,加入道具卡组失败
text,deck_same_card_limit,,同样的卡不能超过3张
text,battle_is_null,,你不在战斗中
text,battle_hand_card_is_null,,手牌不存在
text,battle_crystal_not_enough,,水晶不足
text,battle_target_card_is_null,,没有目标
text,battle_monster_kind_not_match,,只能装在同色怪兽身上
text,battle_consume_own_deploy_fail,,无法对我方使用此卡
text,battle_consume_enemy_deploy_fail,,无法对敌方使用此卡
text,common_confirm,,确 定
text,common_cancel,,取 消
text,common_close,,关 闭
text,unknown_error,,未知错误
text,package_decompress_err_title,,解压失败
text,package_decompress_err,,解压失败
text,package_decompress_err_confirm1,,退出游戏
text,package_decompress_err_confirm2,,重新下载
text,package_version_too_low_title,,版本过低
text,package_version_too_low,,你当前的游戏版本过低，游戏将关闭。
text,package_update_title,,游戏更新
text,package_update,,本次热更新大小:%.2f Mb，是否马上进行更新？
text,network_unable_connect_title,,连接失败
text,network_unable_connect,,无法连接到服务器，请检查你的网络设置
text,network_unable_connect_confirm,,重新连接
text,network_unable_connect_close,,关 闭
text,network_unable_connect_cancel,,取 消
text,network_unable_connect_login,,返回登录
text,game_exit_title,,退出游戏提示
text,game_exit_desc,,确定要离开卡片怪兽吗？
text,game_exit_confirm,,退出
text,game_exit_cancel,,返回
text,online_player_desc,,在线%d人
text,world_home_btn,,主页
text,world_deck_btn,,卡组
text,card_level_desc,,Lv%d
text,tips_random_desc,,小提示:%s
text,deck_chest_time_over,,即可
text,chest_money_desc,,%d-%d金币
text,chest_card_desc,,%d卡牌
text,chest_is_empty,,卡包是空的
text,chest_is_time_out,,开启卡包时候还未到
text,chest_chest_opening,,有卡包正在开启中
text,chest_stage_open,,开启倒计时
text,chest_stage_use,,撕开卡包
text,chest_time_desc,,%s后开启
text,chest_nofiy_desc,,%s已经可以开启
text,card_quality_narmal,,普通
text,card_quality_rare,,罕见
text,card_quality_rarity,,史诗
text,card_quality_epic,,传说
text,battle_result_win,,胜利
text,battle_result_lose,,失败
text,battle_round_own,,你的回合
text,battle_round_first,,先手
text,battle_round_after,,后手
text,battle_power_desc,,卡组强度%d
text,battle_exit_title,,战场提示
text,battle_exit_desc,,您的战斗已经结束,请按确定键退出战斗
text,battle_exit_confirm,,确定
text,arena_level_desc,,牌手%d段
text,slot_detail_title_status,,附加状态
text,slot_detail_title_power,,说明
text,slot_detail_title_buff,,增益状态
text,slot_detail_title_debuff,,减益状态
text,own_deck_penalty,,我方消极惩罚
text,enemy_deck_penalty,,敌方消极惩罚
text,un_sacrifice_target,,没有选择任何卡牌
text,mail_send_user_name,,寄件人:%s
text,mail_system_offline,,邮件系统尚未上线
text,mail_is_null,,没有找到此邮件
text,chest_have_card_num,,共有卡片x%d
text,chest_quality_at_least,,至少含%s卡x%d
text,refresh_time_desc,,刷新时间: %s
text,extra_crystal_use_desc,,【额外水晶】技能只能通过献祭触发
text,user_is_ban,,账号被封停,请联系GM
text,service_is_close,,服务器尚未开启，请稍后再试
text,nofiy_refresh_time_desc,,老板娘的补充包已刷新
text,deck_limit_desc,,%s仅能上阵%d张
text,card_num_not_enough,,卡牌数量不足
text,card_is_max_level,,该卡牌已达最高等级！
text,resource_money_not_enough,,金币不足
text,resource_coin_not_enough,,血钻不足
text,card_not_resolve,,该卡牌无法分解！
text,card_upgrade_success,,升级成功
text,card_resolve_success,,分解成功
text,cardgroup_info_num,,%d号套牌
text,monster_property_card,,怪兽牌
text,the_property_card,,道具牌
text,the_battle_card,,手牌
text,input_room_num,,请输入四位数字房间号
text,room_not_exist,,房间不存在
text,room_is_full,,比赛已经开始，无法加入
text,challenge_3,,比赛已经开始，无法加入
text,challenge_4,,成功加入比赛
text,challenge_5,,等待玩家
text,challenge_6,,（我）
text,the_countdown_began,,人员到齐，准备开战！
text,challenge_prompt_txt,,确认退出比赛吗？
text,fail_the_battle,,已被淘汰
text,you_are_win,,你获胜了！
text,you_are_lose,,你失败了！
text,win_the_semifinals,,恭喜您赢得半决赛！
text,challenge_room_number,,编号 %d 房间
text,challenge_room_name,,四人约战房
text,wait_for_people,,等待玩家
text,in_the_battle,,对战中
text,ail_the_battle,,淘汰
text,add_QQ,,一群已满，欢迎加入测试二群：579381004
text,add_facebook,,请关注facebook粉丝团“卡片怪兽或Card Monsters”
text,challenge_prompt,,退出约战
text,the_countdown_numer1,,1
text,the_countdown_numer2,,2
text,the_countdown_numer3,,3
text,this_is_me,,（我）
text,item_num_not_enough,,道具不足
text,please_input_room,,请输入房间号
text,create_room_failed,,创建房间失败
text,the_card_handbook,,卡牌图鉴
text,my_card_handbook,,我的卡本
text,prop_powder_num,,%d怪兽粉末
text,monster_powder_num,,%d道具粉末
text,powder_not_enough,,怪物粉末不足
text,item_powder_not_enough,,道具粉末不足
text,card_compose_success,,合成成功
text,card_only_two,,已到达该卡制造数量上限
text,rank_win_lose_value,,%s胜/%s负
text,user_rank_info,,你的排名(下次刷新时间：%s)
text,rank_info_name,,奖杯数 说明
text,rank_info_desc,,匹配战斗胜利可以增加奖杯数，反之会降低。
text,user_not_in_rank,,很抱歉，您没有入榜
text,user_in_rank,,你的排名（每小时刷新）
text,battle_immunity_consume_card,,拥有【免疫】技能的怪兽无法成为消耗品的目标
text,compose_limit_desc,,超过合成上限
text,card_not_compose,,无法合成
text,enemy_match_ready_desc,,等待进入战场
text,ourside_match_ready_desc,,准备就绪
text,rank_elo_name,,ELO:
text,user_in_world_rank,,你的全球排名
text,user_in_friend_rank,,你的好友排名
text,user_country_empty,,未知地区
text,user_world_rank_number,,/全球%d名
text,user_friend_rank_number,,好友中的奖杯数排名:%d
text,normal_friend_online,,普通(在线%d)
text,friend_fight,,切磋
text,friend_fight_countdown,,%d秒
text,title_delete_friend_normal,,删除普通好友
text,desc_delete_friend_normal,,确认删除该好友？
text,friend_setting_desc,,编辑
text,friend_chatting_title,,与%s在聊天
text,friend_chatting_emptytext,,信息不能为空
text,pve_misson1_title,,— 鼠潮来袭 —
text,pve_misson1_confition,,胜利条件：消灭10个沙鼠\n失败条件：我方怪兽全灭
text,pve_misson1_tip,,＊消灭鼠患，人人有责
text,pve_misson1_tip2,,＊超挑战难度（策划手抖的临时产物）！此难度适合喜欢自虐的玩家自娱自乐
text,pve_misson2_title,,— 怪兽靶场 —
text,pve_misson2_confition,,胜利条件：消灭任意7个靶子\n 失败条件：我方怪兽全灭 或 敌方水晶数达到50
text,pve_misson2_tip,,＊灵活的应用各种攻击方式是战胜对手的关键！精准的命中靶子，并避开那些炸弹靶子吧！
text,pve_day_limit_desc,,牌组选择
text,pve_cardgroup_mission,,租用牌组
text,pve_cardgroup_ourside,,我的牌组
text,pve_cardgroup_limit,,周%s限定：至少上阵%d张%s色怪兽牌
text,pve_startbtn_limit,,缺%d张%s色怪兽牌
text,pve_startbtn_normal,,进入关卡
text,pve_startbtn_times,,今日次数不足
text,mission_difficulty_desc,,关卡难度%d★
text,pve_battle_mission1_desc,,击杀所有沙鼠
text,pve_battle_mission2_desc,,在敌方达到50水晶前消灭%d个靶子
text,input_friend_num,,输入用户编号
text,input_chat_word,,输入聊天信息
text,the_hp_desc,,血量
text,the_armor_desc,,护甲
text,please_input_id,,搜索不到该编号
text,invite_battle_prompt,,好友切磋
text,battle_with_friend,,切磋申请已发出，等待回复
text,friend_online_state,,在线
text,friend_outline_state_day,,上次在线 %d天前
text,friend_outline_state_hour,,上次在线 %d小时前
text,friend_fight_state,,正在战斗
text,friend_fightbtn_cancel,,取消切磋
text,invited_battle_prompt,,好友切磋
text,invited_battle_with_friend,,%s向你发出切磋申请，是否接受？
text,invited_fight_msgbox_confirm,,接受
text,invited_fight_msgbox_cancel,,拒绝
text,tip_friend_fight_state,,该好友正在战斗
text,tip_friend_outline_state,,该好友已经下线
text,pve_finished_desc,,关卡难度%d★已通过！
text,user_not_exist,,该玩家不存在
text,user_already_friend,,该玩家已经是你的好友
text,user_not_be_added,,该玩家拒绝任何好友请求
text,user_not_online,,该玩家不在线
text,user_is_fighting,,该玩家正在战斗中
text,user_is_matching,,该玩家正在匹配中
text,friend_invite_not_time,,邀请时间没到
text,user_is_myself,,不能添加自己为好友
text,friend_is_inviting,,该玩家正在被邀请
text,user_not_add_list,,该玩家不在列表中
text,not_friend_ship,,不是好友关系
text,user_already_request_add,, 已经申请过加好友
text,refuse_friend_success,,拒绝邀请成功
text,send_add_friend_success,,成功发出申请
text,add_friend_success,,好友添加成功
text,delete_friend_success,,删除好友成功
text,people_is_online,,在线
text,people_is_offline,,脱机
text,people_is_fighting,,战斗中
text,people_is_matching,,匹配中
text,people_is_inviting,,邀请中
text,task_free_refresh_desc,,今日免费刷新次数 %d/%d
text,task_progress_desc,,进度%d/%d
text,task_daily_last_num,,今日还可完成任务:%d
text,join_room_failed,,加入房间失败
text,filter_close_desc,,筛选器
text,filter_open_desc,,确定
text,account_bind_success_t,,平台%s绑定成功
text,account_bind_state1,,关联%s
text,account_bind_state2,,%s正在关联
text,account_bind_state3,,%s已关联
text,account_login_state1,,%s登录
text,account_login_state2,,%s正在登录
text,account_bind_name_wc,,微信
text,account_bind_name_yk,,游客
text,account_bind_name_bd,,%s绑定
text,account_bind_alert,,该%s账号已关联过另一个游戏进度 是否切换？（未关联账号可能会丢失本地数据）
text,account_bind_log_tips,,请确保您已在【设置】->【GameCenter】中登录账号
text,account_bind_log_tips1,,游客玩家请先关联再切换
text,login_auth_error,,账号验证失败,请稍后再试
text,achievement_name_1,,广结好友
text,achievement_name_2,,绝无敌手
text,achievement_name_4,,我即传说
text,achievement_name_5,,这是史诗
text,achievement_name_6,,冒险日记
text,achievement_name_7,,好友假打
text,achievement_name_8,,战个痛快
text,achievement_name_9,,我是冠军
text,achievement_name_11,,连战连捷
text,achievement_desc_1,,拥有%d个好友\n奖励：获取成就点%d
text,achievement_desc_2,,获得匹配战胜利%d场\n奖励：获取成就点%d
text,achievement_desc_4,,获得传说卡片%d张\n奖励：获取成就点%d
text,achievement_desc_5,,获得史诗卡片%d张\n奖励：获取成就点%d
text,achievement_desc_6,,登录%d天\n奖励：获取成就点%d
text,achievement_desc_7,,与好友切磋%d场\n奖励：获取成就点%d
text,achievement_desc_8,,参与约战%d场\n奖励：获取成就点%d
text,achievement_desc_9,,获得约战冠军%d次\n奖励：获取成就点%d
text,achievement_desc_11,,获得三连胜%d次\n奖励：获取成就点%d
