ID,对应熟练度等级,段位考试等级,胜利条件,胜利条件计数,战斗对象类型,战斗类型,租用怪兽,租用物品,AI怪兽,AI物品,玩法说明,奖励1类型,奖励1ID,奖励1数量
number,number,number,string,number,string,string,string,string,string,string,string,string,number,number
ID,level,exam_level,win_target,win_target_value,battle_target_type,battle_type,employee_monster_list,employee_item_list,ai_monster_list,ai_item_list,play_desc,reward_type1,reward_id1,reward_num1
13,8,7,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120037,31001|21002|21016|33003|33012|32008|32008|22012,140011|140011|140011|140011|140011|140011|140011|140017,24001|24002|24003|24006|34001|34008|34003|34010,测试用玩法说明文字,resource,400001,1
14,8,7,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140037,21003|25015|21012|24008|31022|34009|34002|35009,140011|140011|140011|140011|140012|140012|140012|140018,24005|24016|24003|24006|34007|34008|34003|34026,测试用玩法说明文字,resource,400001,1
15,10,8,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120038,31001|21002|21016|33003|33012|32008|32008|22013,140011|140011|140011|140011|140011|140011|140011|140018,24001|24002|24003|24006|34001|34008|34003|34011,测试用玩法说明文字,resource,400001,1
16,10,8,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140038,21003|25015|21012|24008|31022|34009|34002|35010,140011|140011|140011|140011|140012|140012|140012|140019,24005|24016|24003|24006|34007|34008|34003|34027,测试用玩法说明文字,resource,400001,1
17,11,9,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120039,31001|21002|21016|33003|33012|32008|32008|22014,140011|140011|140011|140011|140011|140011|140011|140019,24001|24002|24003|24006|34001|34008|34003|34012,测试用玩法说明文字,resource,400001,1
18,11,9,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140039,21003|25015|21012|24008|31022|34009|34002|35011,140011|140011|140011|140011|140012|140012|140012|140020,24005|24016|24003|24006|34007|34008|34003|34028,测试用玩法说明文字,resource,400001,1
19,12,10,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120040,31001|21002|21016|33003|33012|32008|32008|22015,140011|140011|140011|140011|140011|140011|140011|140020,24001|24002|24003|24006|34001|34008|34003|34013,测试用玩法说明文字,resource,400001,1
20,12,10,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140040,21003|25015|21012|24008|31022|34009|34002|35012,140011|140011|140011|140011|140012|140012|140012|140021,24005|24016|24003|24006|34007|34008|34003|34029,测试用玩法说明文字,resource,400001,1
21,13,11,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120041,31001|21002|21016|33003|33012|32008|32008|22016,140011|140011|140011|140011|140011|140011|140011|140021,24001|24002|24003|24006|34001|34008|34003|34014,测试用玩法说明文字,resource,400001,1
22,13,11,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140041,21003|25015|21012|24008|31022|34009|34002|35013,140011|140011|140011|140011|140012|140012|140012|140022,24005|24016|24003|24006|34007|34008|34003|34030,测试用玩法说明文字,resource,400001,1
23,14,12,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120042,31001|21002|21016|33003|33012|32008|32008|22017,140011|140011|140011|140011|140011|140011|140011|140022,24001|24002|24003|24006|34001|34008|34003|34015,测试用玩法说明文字,resource,400001,1
24,14,12,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140042,21003|25015|21012|24008|31022|34009|34002|35014,140011|140011|140011|140011|140012|140012|140012|140023,24005|24016|24003|24006|34007|34008|34003|34031,测试用玩法说明文字,resource,400001,1
25,14,12,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120043,31001|21002|21016|33003|33012|32008|32008|22018,140011|140011|140011|140011|140011|140011|140011|140023,24001|24002|24003|24006|34001|34008|34003|34016,测试用玩法说明文字,resource,400001,1
