类型,索引,替换目标,文本值(英语）
editer,interface/deck/card_detail_panel.csb,node.add_btn.desc,Use
editer,interface/deck/card_detail_panel.csb,node.create_node.create_btn.desc,Compose
editer,interface/deck/card_detail_panel.csb,node.deck_tips_btn.desc,In use
editer,interface/deck/card_detail_panel.csb,node.delete_btn.desc,Disenchant
editer,interface/deck/card_detail_panel.csb,node.levelup_btn.desc,Upgrade
editer,interface/deck/filter_panel.csb,filter_btn.desc,Filter
editer,interface/deck/filter_panel.csb,filter_panel.filter1.all_chk.desc,All
editer,interface/deck/filter_panel.csb,filter_panel.filter1.consume_chk.desc,Consumable
editer,interface/deck/filter_panel.csb,filter_panel.filter1.equip_chk.desc,Equipment
editer,interface/deck/filter_panel.csb,filter_panel.filter1.monster_chk.desc,Monster
editer,interface/deck/filter_panel.csb,filter_panel.filter1.title,Card type
editer,interface/deck/filter_panel.csb,filter_panel.filter2.entire_chk.desc,All
editer,interface/deck/filter_panel.csb,filter_panel.filter2.title,Card color
editer,interface/deck/filter_panel.csb,filter_panel.filter3.checkbox1.desc,All
editer,interface/deck/filter_panel.csb,filter_panel.filter3.title,Crystal cost
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox1.desc,All
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox2.desc,Common
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox3.desc,Rare
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox4.desc,Epic
editer,interface/deck/filter_panel.csb,filter_panel.filter4.checkbox5.desc,Legendary
editer,interface/deck/filter_panel.csb,filter_panel.filter4.title,Rarity
editer,interface/deck/levellist_panel.csb,bg.head.cost.cost_desc,cost
editer,interface/deck/levelup_panel.csb,node.detailbg.title.name,Material needed
editer,interface/deck/levelup_panel.csb,node.title,Card level up
editer,interface/deck/resolve_panel.csb,node.detailbg.confirm_btn.desc,Confirm
editer,interface/deck/resolve_panel.csb,node.detailbg.desc,You will get following materials by disenchanting this card，confirm?
editer,interface/deck/resolve_panel.csb,node.title,Disenchant
editer,interface/deck/resolve_panel.csb,node.detailbg.title.name,Get from disenchant
editer,interface/download_panel.csb,loading_bg.desc,Update Version
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn1.desc,Search friend
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn2.desc,Coming soon
editer,interface/friend/friend_add_panel.csb,msgbox.page_btn3.desc,Coming soon
editer,interface/friend/friend_add_panel.csb,msgbox.the_bg.find_node.result.result1,No result
editer,interface/friend/friend_add_panel.csb,msgbox.the_bg.find_node.result.result2.confirm_btn.desc,Send friend request
editer,interface/friend/friend_add_panel.csb,msgbox.titlebg.title,Add friend
editer,interface/friend/friend_chat_panel.csb,msgbox.chat_node.enter_btn.desc,Send
editer,interface/friend/friend_chat_panel.csb,msgbox.titlebg.title,Friend
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.add_btn.desc,Add friend
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.message_btn.desc,Notice
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.page_btn2.desc,Coming soon
editer,interface/friend/friend_list_panel.csb,msgbox.list_node.template.the_normal_node.fight_btn.desc,Practice
editer,interface/friend/friend_list_panel.csb,msgbox.titlebg.title,Friend
editer,interface/friend/friend_message_panel.csb,node.desc,No longer accept friend requests
editer,interface/friend/friend_message_panel.csb,node.template.cancel_btn.desc,Refuse
editer,interface/friend/friend_message_panel.csb,node.template.confirm_btn.desc,Agree
editer,interface/friend/friend_message_panel.csb,node.titlebg.title,Notice
editer,interface/friend/friend_panel.csb,msgbox.chat_node.textfield,Click and enter
editer,interface/ladder/intro_list_panel.csb,template.reward_desc,Season award
editer,interface/ladder/intro_list_panel.csb,title,Ladder Ranks
editer,interface/ladder/ladder_panel.csb,info_desc,Ladder Rules
editer,interface/login_panel.csb,login_btn.other.desc,Game Center login
editer,interface/login_panel.csb,logo.start_txt,Tap to Start
editer,interface/login_panel.csb,npc.bubblebg.desc,Let's play Card Monsters!
editer,interface/login_panel.csb,tip,Search "Card Monsters" on Facebook and like us!
editer,interface/mail/mailbox_panel.csb,node.mail_detailbg.confirm_btn.desc,Receive reward
editer,interface/mail/mailbox_panel.csb,node.mail_detailbg.read_icon.desc,Read
editer,interface/mail/mailbox_panel.csb,node.mail_template.read_icon.desc,Read
editer,interface/mail/mailbox_panel.csb,node.title,Parrot Mail
editer,interface/pve/main_pve_list.csb,pve_list.template1.name,Gerbip Tide
editer,interface/pve/main_pve_list.csb,pvelist.template1.name,Gerbip Tide
editer,interface/pve/main_pve_list.csb,pvelist.template2.name,Monsters' Range
editer,interface/pve/pve_cardgroup_panel.csb,node.cardgroup_list.cardgroup_btn2,My deck
editer,interface/pve/pve_cardgroup_panel.csb,node.times.desc,Remaining times today
editer,interface/pve/pve_panel.csb,level_info.level_list.level_template.lock_node.desc,Please complete previous stage
editer,interface/pve/pve_panel.csb,level_info.level_list.level_template.unfinished_node.reward_desc,Complete bonus
editer,interface/setting/account_panel.csb,msgbox.desc,Please bind your account so you can play Card Monsters in any devices
editer,interface/setting/account_panel.csb,msgbox.titlebg.title,Bind account
editer,interface/setting/account_panel.csb,msgbox.transform_btn.desc,Change account
editer,interface/setting/cdkey_panel.csb,msgbox.confirm_btn.desc,Comfirm
editer,interface/setting/cdkey_panel.csb,msgbox.titlebg.title,Redemption Gift Code
editer,interface/setting/global_setting_panel.csb,msgbox.login_btn.btn2.desc,Gift Code
editer,interface/setting/global_setting_panel.csb,msgbox.login_btn.btn3.desc,Bind account
editer,interface/setting/global_setting_panel.csb,msgbox.titlebg.title,Settings
editer,interface/task/task_normal_node.csb,normal_node.title1,Quest target
editer,interface/task/task_normal_node.csb,normal_node.title2,Quest reward
editer,interface/task/task_normal_node.csb,normal_node.transform_btn.desc,Refresh
editer,interface/task/task_panel.csb,msgbox.page_btn2.desc,Quest
editer,interface/task/task_panel.csb,node.titlebg.title,Quest
editer,interface/task/task_waiting_node.csb,waitting_node.title,Next quest coming in
editer,interface/world/deck_panel.csb,cardbook.book.page.title,My collection
editer,interface/world/deck_panel.csb,cardbook_btn.desc,My collection
editer,interface/world/deck_panel.csb,create_btn.desc,Compose card
editer,interface/world/deck_panel.csb,create_node.node.bg.desc1,Monster powder
editer,interface/world/deck_panel.csb,create_node.node.bg2.desc1,Item powder
editer,interface/world/deck_panel.csb,create_node.node.topbg.title,Compose card
editer,interface/world/friendfight_panel.csb,msgbox.step1.champion_desc,Champion Record History
editer,interface/world/friendfight_panel.csb,msgbox.step1.create_btn.desc,Create a room
editer,interface/world/friendfight_panel.csb,msgbox.step1.desc,Every four players could start a match in one room;  2v2 match randomly for semifinals.The victory party will continue to the final
editer,interface/world/friendfight_panel.csb,msgbox.step1.enter_btn.desc,Join
editer,interface/world/friendfight_panel.csb,msgbox.step1.textfield,Enter room number
editer,interface/world/friendfight_panel.csb,msgbox.step2.copy_btn.desc,Quit room
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot1.enter_node.fight_desc,in battle
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot2.enter_node.fight_desc,in battle
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot3.enter_node.fight_desc,in battle
editer,interface/world/friendfight_panel.csb,msgbox.step2.slot4.enter_node.fight_desc,in battle
editer,interface/world/help_btn.csb,setting.desc,Help
editer,interface/world/help_btn.csb,helpbtn.desc,Help
editer,interface/world/help_panel.csb,back_btn.desc,Back
editer,interface/world/help_panel.csb,pageview.page0.desc1,FAQ 1
editer,interface/world/help_panel.csb,pageview.page0.desc2,Q&A for mobile card monsters:\n\nQ:Why players can not create their own character name while applied a random ID?\nA:Because of lacking account system，we set players’ ID randomly when they first launch the game. ID Customization will be considered later on.\n\nQ: Why there is no Tutorial in the game?\nA: Since Card Monsters is still under Beta test，some primary features have not launched yet. Based on the basic process，every main gameplay should has its relative tutorial，so the whole game tutorial will be ready after these features launched.\n\nQ:Why there are some parts are locked in the game? Such as castles，shops，etc..\nA:Because those parts are still under developing. Hopefully to unlock them 
editer,interface/world/help_panel.csb,pageview.page1.desc1,Equipment Cards are on the left
editer,interface/world/help_panel.csb,pageview.page1.desc2,Monster Cards are on the right
editer,interface/world/help_panel.csb,pageview.page1.desc3,Remaining Number
editer,interface/world/help_panel.csb,pageview.page1.desc4,You
editer,interface/world/help_panel.csb,pageview.page1.desc5,There are two types of cards: Monster Card and Item Card(including Equipment Card and Consumable Card).Equipment Cards must be attached to monsters with the same color
editer,interface/world/help_panel.csb,pageview.page2.desc1,You
editer,interface/world/help_panel.csb,pageview.page2.desc2,You can press the Sacrifice button at the bottom，to sacrifice your cards and get extra crystals
editer,interface/world/help_panel.csb,pageview.page3.desc1,Opponent
editer,interface/world/help_panel.csb,pageview.page3.desc2,Start Battle button
editer,interface/world/help_panel.csb,pageview.page3.desc3,After all monsters are deployed，you can press Start Battle button to attack. However If you start battle without any monsters on your field，you will get penalty
editer,interface/world/help_panel.csb,pageview.page4.desc1,Opponent
editer,interface/world/help_panel.csb,pageview.page4.desc2,Remaining Monsters
editer,interface/world/help_panel.csb,pageview.page4.desc3,Opponent's remaining monsters
editer,interface/world/help_panel.csb,pageview.page4.desc4,The game is turn-based，the game continues until all monsters of one player are defeated
editer,interface/world/help_panel.csb,pageview.page5.desc1,Opponent
editer,interface/world/help_panel.csb,pageview.page5.desc2,Engagement slot
editer,interface/world/help_panel.csb,pageview.page5.desc3,Support slot
editer,interface/world/help_panel.csb,pageview.page5.desc4,Support slot
editer,interface/world/help_panel.csb,pageview.page5.desc5,Engagement slot
editer,interface/world/help_panel.csb,pageview.page5.desc6,Support slot
editer,interface/world/help_panel.csb,pageview.page5.desc7,Support slot
editer,interface/world/help_panel.csb,pageview.page5.desc8,You
editer,interface/world/help_panel.csb,pageview.page5.desc9,Melee skill only works when the monster is on Engagement Slot，attacking the target in the opposite Engagement Slot
editer,interface/world/help_panel.csb,pageview.page6.desc1,Opponent
editer,interface/world/help_panel.csb,pageview.page6.desc2,Engagement slot
editer,interface/world/help_panel.csb,pageview.page6.desc3,Support slot
editer,interface/world/help_panel.csb,pageview.page6.desc4,Support slot
editer,interface/world/help_panel.csb,pageview.page6.desc5,Engagement slot
editer,interface/world/help_panel.csb,pageview.page6.desc6,Support slot
editer,interface/world/help_panel.csb,pageview.page6.desc7,Support slot
editer,interface/world/help_panel.csb,pageview.page6.desc8,You
editer,interface/world/help_panel.csb,pageview.page6.desc9,Ranged skill works when the monster is in any support slot，attacking the target according to a static preferred order (as shown in above diagram)
editer,interface/world/help_panel.csb,pageview.page7.desc1,Opponent
editer,interface/world/help_panel.csb,pageview.page7.desc2,Engagement slot
editer,interface/world/help_panel.csb,pageview.page7.desc3,Support slot
editer,interface/world/help_panel.csb,pageview.page7.desc4,Support slot
editer,interface/world/help_panel.csb,pageview.page7.desc5,Engagement slot
editer,interface/world/help_panel.csb,pageview.page7.desc6,Support slot
editer,interface/world/help_panel.csb,pageview.page7.desc7,Support slot
editer,interface/world/help_panel.csb,pageview.page7.desc8,You
editer,interface/world/help_panel.csb,pageview.page7.desc9,Magic skill works when the monster is in any slot，attacking the opposite target as the first preference. In case there is no opposite target，then it attacks the target in Engagement Slot instead
editer,interface/world/help_panel.csb,pageview.page8.desc1,Opponent
editer,interface/world/help_panel.csb,pageview.page8.desc2,Melee or Ranged skills causes damage to Armor first，while Magic skill ignores Armor
editer,interface/world/help_panel.csb,pageview.page9.desc1,FAQ 2
editer,interface/world/help_panel.csb,pageview.page9.desc2,Q:Why we can’t get extra booster card packs except 5 packs per 12 hours?\nA:We are developing other functions for players to get more packs. There will variety ways for players to get packs then.\n\nQ:Why we can’t get EXP/coins/materials by winning battles now?\nA:We truly know that players want to level up themselves and win stronger opponents. We are not sure what kind of systems will be online，such as role players level systems or EXP systems. Coins and other materials you can get them from other unlocked functions in the game. We will try to unlock them online ASAP
editer,interface/world/help_panel.csb,title,Help
editer,interface/world/ladder_panel.csb,node.info_desc,Refresh per hour
editer,interface/world/ladder_panel.csb,node.page_btn1.desc,Global Ranking
editer,interface/world/ladder_panel.csb,node.page_btn2.desc,Friend Ranking
editer,interface/world/ladder_panel.csb,node.titlebg.title,Ranking
editer,interface/world/ladder_panel.csb,node.top_btn.desc,Back
editer,interface/world/main_panel.csb,achievement.desc,Achievement
editer,interface/world/main_panel.csb,cardbag.desc,Booster packs
editer,interface/world/main_panel.csb,cardbook.desc,My collection
editer,interface/world/main_panel.csb,community.desc,Community
editer,interface/world/main_panel.csb,event.tip,Challenge Room
editer,interface/world/main_panel.csb,friend.desc,friend
editer,interface/world/main_panel.csb,ladder.desc,Ranking
editer,interface/world/main_panel.csb,mailbox.desc,Parrot Mail
editer,interface/world/main_panel.csb,pvebtn.desc,Adventure
editer,interface/world/main_panel.csb,pvpbtn.desc,Battle
editer,interface/world/main_panel.csb,reward_tip.desc,Daily reward
editer,interface/world/main_panel.csb,setting.desc,Settings
editer,interface/world/main_panel.csb,setting2.desc,Settings
editer,interface/world/main_panel.csb,task.desc,Quest
editer,interface/world/main_panel.csb,task.desc,Quest
editer,interface/world/main_panel.csb,tip,Search "Card Monsters" on Facebook and like us!
editer,interface/world/match_panel.csb,msgbox.bubble_bg.desc,Opponent found!
editer,interface/world/match_panel.csb,msgbox.desc,Waiting for opponent...
editer,interface/battle/battle_end2/mvp_node.csb,panel.title,Best overall
editer,interface/battle/battle_end2/reward_template.csb,panel.title,Reward
text,lost_connection,,Connection lost
text,unconnected,,Server not connected
text,send_time_out,,Request timeout
text,battle_pvp_text,,Turn %d
text,own_monster_num,,Monster %d
text,own_item_num,,Equipment %d
text,battle_started,,Ready to start
text,card_type_monster,,Monster Card
text,card_type_armor,,Armor Card
text,card_type_equip,,Weapon Card
text,card_type_consume,,Consumable Card
text,operation_card_level_up,,%d cards can be upgraded
text,operation_card_detail,,Card Details
text,fight_deck_name,,Battle Deck %d
text,arena_stage_wait_desc,,Battle
text,arena_stage_match_desc,,Cancel
text,sacrifice_error,,Only one sacrifice can be done per turn
text,deck_is_null,,Deck is empty
text,card_is_null,,This card does not exist
text,card_config_is_null,,Card data does not exist
text,deck_monster_full,,The card was not added to Monster Deck successfully
text,deck_item_full,,The card was not added to Item Deck successfully
text,deck_same_card_limit,,Only three copies of each card can be included in one deck
text,battle_is_null,,You are not in a battle
text,battle_hand_card_is_null,,Hand does not exist
text,battle_crystal_not_enough,,Insufficient Crystals
text,battle_target_card_is_null,,No valid target
text,battle_monster_kind_not_match,,Monster type mismatch
text,battle_consume_own_deploy_fail,,This card may not be used to your cards in play
text,battle_consume_enemy_deploy_fail,,This card may not be used to your opponent's cards in play
text,common_confirm,,Confirm
text,common_cancel,,Cancel
text,common_close,,Close
text,unknown_error,,Unknown Error
text,package_decompress_err_title,,Decompression Failure
text,package_decompress_err,,Decompression Failure
text,package_decompress_err_confirm1,,Exit Game
text,package_decompress_err_confirm2,,Download again
text,package_version_too_low_title,,Version expired
text,package_version_too_low,,Your game version is too old. Game has to be closed.
text,package_update_title,,Version Update
text,package_update,,The update package: %.2f Mb. Update now?
text,network_unable_connect_title,,Connection Failure
text,network_unable_connect,,Unable to connect to server，please check your internet settings.
text,network_unable_connect_confirm,,Reconnect
text,network_unable_connect_close,,Close
text,network_unable_connect_cancel,,Cancel
text,network_unable_connect_login,,Quit
text,game_exit_title,,Exit Game
text,game_exit_desc,,Are you sure you want to exit Card Monsters?
text,game_exit_confirm,,Exit
text,game_exit_cancel,,Cancel
text,online_player_desc,,%d players online
text,world_home_btn,,Home
text,world_deck_btn,,Deck
text,card_level_desc,,Lv %d
text,tips_random_desc,,Tips: %s
text,deck_chest_time_over,,Open
text,chest_money_desc,,%d-%d coins
text,chest_card_desc,,%d cards
text,chest_is_empty,,The pack is empty.
text,chest_is_time_out,,The time to open this pack has not come yet.
text,chest_chest_opening,,Another pack is opening.
text,chest_stage_open,,Open Timer
text,chest_stage_use,,Open the pack
text,chest_time_desc,,Open after %s
text,chest_nofiy_desc,,%s can be opened now
text,card_quality_narmal,,Common
text,card_quality_rare,,Rare
text,card_quality_rarity,,Epic
text,card_quality_epic,,Legendary
text,battle_result_win,,VICTORY
text,battle_result_lose,,DEFEAT
text,battle_round_own,,Your Turn
text,battle_round_first,,First
text,battle_round_after,,Second
text,battle_power_desc,,Deck Strength %d
text,battle_exit_title,,Battle Message
text,battle_exit_desc,,The battle is over，please click OK to exit
text,battle_exit_confirm,,OK
text,arena_level_desc,,Player Rank %d
text,slot_detail_title_status,,Status
text,slot_detail_title_power,,Description
text,slot_detail_title_buff,,Buff
text,slot_detail_title_debuff,,Debuff
text,own_deck_penalty,,Negative penalty for yourself
text,enemy_deck_penalty,,Negative penalty for your opponent
text,un_sacrifice_target,,You did not select any card
text,mail_send_user_name,,Sender:%s
text,mail_system_offline,,Mail system is offline
text,mail_is_null,,Mail not found
text,chest_have_card_num,,Has x%d cards
text,chest_quality_at_least,,At least has %s cardx%d
text,refresh_time_desc,,Refresh time: %s
text,extra_crystal_use_desc,,【Additional Crystal】can only be triggered by sacrifice
text,user_is_ban,,Account being banned，please contact customer service
text,service_is_close,,Server is down，please try again later
text,nofiy_refresh_time_desc,,Tavern owner's booster pack have been refreshed
text,deck_limit_desc,,%d can only use  %s in one deck
text,card_num_not_enough,,There are not enough cards
text,card_is_max_level,,Level Max!
text,resource_money_not_enough,,Not enough money
text,resource_coin_not_enough,,Not enough coin
text,card_not_resolve,,This card can not be resolved
text,card_upgrade_success,,Success
text,card_resolve_success,,Success
text,cardgroup_info_num,,No. %d  battle deck
text,monster_property_card,,Monster Card
text,the_property_card,,Item Card
text,the_battle_card,,Deployed Card
text,input_room_num,,enter room number
text,room_not_exist,,invalid room number
text,room_is_full,,match already started，please wait
text,challenge_3,,比赛已经开始，无法加入
text,challenge_4,,Attend sucessfully
text,challenge_5,,等待对手加入…
text,challenge_6,,（我）
text,the_countdown_began,,Ready to start!
text,challenge_prompt_txt,,Confirm quit?
text,fail_the_battle,,Sorry but you are out
text,you_are_win,,Victory!
text,you_are_lose,,Defeat!
text,win_the_semifinals,,Semifinal!
text,challenge_room_number,,No. %d Room
text,challenge_room_name,,4-seats Challenge Room
text,wait_for_people,,Searching for opponent
text,in_the_battle,,In Battle
text,ail_the_battle,,Knocked out
text,add_QQ,,Search "Card Monsters" and like our Facebook page!
text,add_facebook,,Search "Card Monsters" and like our Facebook page!
text,challenge_prompt,,Quit
text,the_countdown_numer1,,1
text,the_countdown_numer2,,2
text,the_countdown_numer3,,3
text,this_is_me,,（me）
text,item_num_not_enough,,There are not enough items
text,please_input_room,,Please enter room number
text,create_room_failed,,failed to create room!
text,the_card_handbook,,Card Info
text,my_card_handbook,,My Collection
text,prop_powder_num,,%d monster powder
text,monster_powder_num,,%d item powder
text,powder_not_enough,,Not enough monster powder
text,item_powder_not_enough,,Not enough item powder
text,card_compose_success,,Compose success
text,card_only_two,,Reach the maximum quantity of card creating
text,rank_win_lose_value,,%sWin/%sLose
text,user_rank_info,,Your Rank(next refresh time：%s)
text,rank_info_name,,Cup
text,rank_info_desc,,You can increase your Cup by winning in the battles，and if you lost，your Cup will be reduced
text,user_not_in_rank,,Sorry，you are not in the ranking
text,user_in_rank,,Your Rank (refresh per hour)
text,battle_immunity_consume_card,,Monsters which have [Immunity] skill can not be targeted by consume card
text,compose_limit_desc,,Reach the maximum
text,card_not_compose,,Unable to compose
text,enemy_match_ready_desc,,Waiting
text,ourside_match_ready_desc,,Ready
text,rank_elo_name,,ELO:
text,user_in_world_rank,,Your global rank
text,user_in_friend_rank,,Your friend rank
text,user_country_empty,,Unknown region
text,user_world_rank_number,,/global rank%d
text,user_friend_rank_number,,friend rank:%d
text,normal_friend_online,,Normal(online%d)
text,friend_fight,,Practice
text,friend_fight_countdown,,%dS
text,title_delete_friend_normal,,Delete
text,desc_delete_friend_normal,,Comfirm deletion?
text,friend_setting_desc,,Edit
text,friend_chatting_title,,Chat with %s
text,friend_chatting_emptytext,,Your message cannot be empty
text,pve_misson1_title,,— Gerbip Tide —
text,pve_misson1_confition,,Victory：defeat 10 gerbips \n Failure：lose all your monsters
text,pve_misson1_tip,,＊Go go defeat gerbips!
text,pve_misson1_tip2,,＊Super challenge difficulty(Temporary)! Suitable for players who like to challenge impossible missions!
text,pve_misson2_title,,— Monsters' Range —
text,pve_misson2_confition,,Victory：defeat 7 targets \n Failure：lose all your monsters or enemy own 50 crystals
text,pve_misson2_tip,,＊Use various attack type to shoot the targets! Be careful about bomb targets.
text,pve_day_limit_desc,,Choose deck
text,pve_cardgroup_mission,,Leasehold deck
text,pve_cardgroup_ourside,,My deck
text,pve_cardgroup_limit,,%s limit：Your deck must include at least %d %s monster cards
text,pve_startbtn_limit,,need %d more %s monster card
text,pve_startbtn_normal,,Adventure
text,pve_startbtn_times,,Closed
text,mission_difficulty_desc,,Difficulty%d★
text,pve_battle_mission1_desc,,Defeat all gerbips
text,pve_battle_mission2_desc,,Destroy %d targets before your enemy get 50 crystals
text,input_friend_num,,Enter user ID
text,input_chat_word,,Enter message
text,the_hp_desc,,HP
text,the_armor_desc,,Armor
text,please_input_id,,ID not exist
text,invite_battle_prompt,,Practice
text,battle_with_friend,,Waiting for your friend
text,friend_online_state,,Online
text,friend_outline_state_day,,Last login %d days ago
text,friend_outline_state_hour,,Last login %d hours ago
text,friend_fight_state,,In battle
text,friend_fightbtn_cancel,,Cancel practice
text,invited_battle_prompt,,Practice
text,invited_battle_with_friend,,%s ask you for practice，agree?
text,invited_fight_msgbox_confirm,,Agree
text,invited_fight_msgbox_cancel,,Decline
text,tip_friend_fight_state,,Your friend is in battle
text,tip_friend_outline_state,,Your friend already offline
text,pve_finished_desc,,Complete stage %d★！
text,user_not_exist,,The player doesn't exist
text,user_already_friend,,The player has already been your friend
text,user_not_be_added,,The player refuses any friend's request
text,user_not_online,,The player is not online
text,user_is_fighting,,The player is in a battle
text,user_is_matching,,The player is searching an opponent
text,friend_invite_not_time,,Not invite tiem
text,user_is_myself,,You can't add yourself as a friend
text,friend_is_inviting,,The player is under inviting
text,user_not_add_list,,The player is not in the list
text,not_friend_ship,,You are not friends yet
text,user_already_request_add,,You already invited
text,refuse_friend_success,,Refuse friend success
text,send_add_friend_success,,Send success
text,add_friend_success,,Add friend success
text,delete_friend_success,,Delete friend success
text,people_is_online,,online
text,people_is_offline,,offline
text,people_is_fighting,,Your friend is in battle
text,people_is_matching,,Matching
text,people_is_inviting,,Inviting
text,task_free_refresh_desc,,Free refresh times today %d/%d
text,task_progress_desc,,Progress %d/%d
text,task_daily_last_num,,%d quests left today
text,join_room_failed,,Join room failed
text,filter_close_desc,,Filter
text,filter_open_desc,,Comfirm
text,account_bind_success_t,,Platform %s bind success
text,account_bind_state1,,Bind %s
text,account_bind_state2,,%s binding
text,account_bind_state3,,%s binded
text,account_login_state1,,%s Login
text,account_login_state2,,%s Logging in
text,account_bind_name_wc,,Wchat
text,account_bind_name_yk,,Guest
text,account_bind_name_bd,,%s bind
text,account_bind_alert,,This %s account has been binded to the game account. Would you change another account?(Unbound account could lost the local data)
text,account_bind_log_tips,,Make sure you have login in [Setting]->[GameCenter]
text,account_bind_log_tips1,,If you are guest account，please bind first
text,login_auth_error,,Account validation failed，please try again later
text,achievement_name_1,,Make Friends
text,achievement_name_2,,Ladder victory
text,achievement_name_4,,Legendary
text,achievement_name_5,,Epic
text,achievement_name_6,,Work hard
text,achievement_name_7,,Friendlies
text,achievement_name_8,,Good battle
text,achievement_name_9,,Challenge champion
text,achievement_name_11,,Trifecta
text,achievement_desc_1,,Have %d friends ： get %d achievement points
text,achievement_desc_2,,Win %d matches in Battle/Practice Mode： get %d achievement points
text,achievement_desc_4,,Get %d legendary cards： get %d achievement points
text,achievement_desc_5,,Get %d epic cards： get %d achievement points
text,achievement_desc_6,,Login %d days： get %d achievement points
text,achievement_desc_7,,Play %d friendlies： get %d achievement points
text,achievement_desc_8,,Finish %d challenge matches： get %d achievement points
text,achievement_desc_9,,Be challenge champion %d times： get %d achievement points
text,achievement_desc_11,,Trifecta %d times： get %d achievement points
text,pve_play_not_open,,Haven't open yet
text,pve_difficulty_error,,You choosed a wrong difficulty
text,pve_attack_type_error,,Wrong deck
text,pve_fight_data_error,,Wrong fight data
text,pve_count_not_enough,,All PVE counts used
text,task_reward_failed,,Receive task reward failed
text,achievement_reward_failed,,Receive ahcievement reward failed
