卡牌ID,卡牌ID,下一级别卡牌ID,需求游戏币,需求代币,需求材料2,需求材料3,需求材料4,需求材料5,需求材料6,需求材料7,需求材料8,需求材料9
132,120075,120076,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
133,120076,120077,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
134,120081,120082,32,,item|100001|50,item|400001|1,,,,,,
135,120082,120083,99,,item|100001|81,item|400001|3,,,,,,
136,120083,120084,239,,item|100001|149,item|400001|9,,,,,,
137,120084,120085,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
138,120085,120086,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
139,120086,120087,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
140,120091,120092,35,,item|100001|55,item|400001|1,,,,,,
141,120092,120093,110,,item|100001|90,item|400001|3,,,,,,
142,120093,120094,265,,item|100001|165,item|400001|9,,,,,,
143,120094,120095,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
144,120095,120096,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
145,120096,120097,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
146,120097,120098,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
147,120101,120102,28,,item|100001|44,item|400001|1,,,,,,
148,120102,120103,88,,item|100001|72,item|400001|3,,,,,,
149,120103,120104,212,,item|100001|132,item|400001|8,,,,,,
150,120104,120105,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
151,120105,120106,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
152,120111,120112,32,,item|100001|50,item|400001|1,,,,,,
153,120112,120113,99,,item|100001|81,item|400001|3,,,,,,
154,120113,120114,239,,item|100001|149,item|400001|9,,,,,,
155,120114,120115,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
156,120115,120116,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
157,120116,120117,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
158,120121,120122,32,,item|100001|50,item|400001|1,,,,,,
159,120122,120123,99,,item|100001|81,item|400001|3,,,,,,
160,120123,120124,239,,item|100001|149,item|400001|9,,,,,,
161,120124,120125,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
162,120125,120126,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
163,120126,120127,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
164,120131,120132,32,,item|100001|50,item|400001|1,,,,,,
165,120132,120133,99,,item|100001|81,item|400001|3,,,,,,
166,120133,120134,239,,item|100001|149,item|400001|9,,,,,,
167,120134,120135,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
168,120135,120136,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
169,120136,120137,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
170,120141,120142,35,,item|100001|55,item|400001|1,,,,,,
171,120142,120143,110,,item|100001|90,item|400001|3,,,,,,
172,120143,120144,265,,item|100001|165,item|400001|9,,,,,,
173,120144,120145,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
174,120145,120146,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
175,120146,120147,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
176,120147,120148,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
177,120151,120152,35,,item|100001|55,item|400001|1,,,,,,
178,120152,120153,110,,item|100001|90,item|400001|3,,,,,,
179,120153,120154,265,,item|100001|165,item|400001|9,,,,,,
180,120154,120155,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
181,120155,120156,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
182,120156,120157,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
183,120157,120158,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
184,120161,120162,25,,item|100001|39,item|400001|1,,,,,,
185,120162,120163,77,,item|100001|63,item|400001|3,,,,,,
186,120163,120164,186,,item|100001|116,item|400001|7,,,,,,
187,120164,120165,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
188,120171,120172,25,,item|100001|39,item|400001|1,,,,,,
189,120172,120173,77,,item|100001|63,item|400001|3,,,,,,
190,120173,120174,186,,item|100001|116,item|400001|7,,,,,,
191,120174,120175,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
192,120181,120182,28,,item|100001|44,item|400001|1,,,,,,
193,120182,120183,88,,item|100001|72,item|400001|3,,,,,,
194,120183,120184,212,,item|100001|132,item|400001|8,,,,,,
195,120184,120185,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
196,120185,120186,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
197,120191,120192,28,,item|100001|44,item|400001|1,,,,,,
198,120192,120193,88,,item|100001|72,item|400001|3,,,,,,
199,120193,120194,212,,item|100001|132,item|400001|8,,,,,,
200,120194,120195,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
201,120195,120196,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
202,130011,130012,25,,item|100001|39,item|400001|1,,,,,,
203,130012,130013,77,,item|100001|63,item|400001|3,,,,,,
204,130013,130014,186,,item|100001|116,item|400001|7,,,,,,
205,130014,130015,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
206,130021,130022,25,,item|100001|39,item|400001|1,,,,,,
207,130022,130023,77,,item|100001|63,item|400001|3,,,,,,
208,130023,130024,186,,item|100001|116,item|400001|7,,,,,,
209,130024,130025,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
210,130031,130032,25,,item|100001|39,item|400001|1,,,,,,
211,130032,130033,77,,item|100001|63,item|400001|3,,,,,,
212,130033,130034,186,,item|100001|116,item|400001|7,,,,,,
213,130034,130035,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
214,130041,130042,28,,item|100001|44,item|400001|1,,,,,,
215,130042,130043,88,,item|100001|72,item|400001|3,,,,,,
216,130043,130044,212,,item|100001|132,item|400001|8,,,,,,
217,130044,130045,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
218,130045,130046,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
219,130051,130052,28,,item|100001|44,item|400001|1,,,,,,
220,130052,130053,88,,item|100001|72,item|400001|3,,,,,,
221,130053,130054,212,,item|100001|132,item|400001|8,,,,,,
222,130054,130055,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
223,130055,130056,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
224,130061,130062,28,,item|100001|44,item|400001|1,,,,,,
225,130062,130063,88,,item|100001|72,item|400001|3,,,,,,
226,130063,130064,212,,item|100001|132,item|400001|8,,,,,,
227,130064,130065,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
228,130065,130066,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
229,130071,130072,32,,item|100001|50,item|400001|1,,,,,,
230,130072,130073,99,,item|100001|81,item|400001|3,,,,,,
231,130073,130074,239,,item|100001|149,item|400001|9,,,,,,
232,130074,130075,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
233,130075,130076,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
234,130076,130077,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
235,130081,130082,32,,item|100001|50,item|400001|1,,,,,,
236,130082,130083,99,,item|100001|81,item|400001|3,,,,,,
237,130083,130084,239,,item|100001|149,item|400001|9,,,,,,
238,130084,130085,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
239,130085,130086,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
240,130086,130087,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
241,130091,130092,35,,item|100001|55,item|400001|1,,,,,,
242,130092,130093,110,,item|100001|90,item|400001|3,,,,,,
243,130093,130094,265,,item|100001|165,item|400001|9,,,,,,
244,130094,130095,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
245,130095,130096,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
246,130096,130097,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
247,130097,130098,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
248,130101,130102,28,,item|100001|44,item|400001|1,,,,,,
249,130102,130103,88,,item|100001|72,item|400001|3,,,,,,
250,130103,130104,212,,item|100001|132,item|400001|8,,,,,,
251,130104,130105,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
252,130105,130106,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
253,130111,130112,32,,item|100001|50,item|400001|1,,,,,,
254,130112,130113,99,,item|100001|81,item|400001|3,,,,,,
255,130113,130114,239,,item|100001|149,item|400001|9,,,,,,
256,130114,130115,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
257,130115,130116,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
258,130116,130117,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
259,130121,130122,32,,item|100001|50,item|400001|1,,,,,,
260,130122,130123,99,,item|100001|81,item|400001|3,,,,,,
261,130123,130124,239,,item|100001|149,item|400001|9,,,,,,
262,130124,130125,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
263,130125,130126,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
264,130126,130127,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
265,130131,130132,32,,item|100001|50,item|400001|1,,,,,,
266,130132,130133,99,,item|100001|81,item|400001|3,,,,,,
267,130133,130134,239,,item|100001|149,item|400001|9,,,,,,
268,130134,130135,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
269,130135,130136,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
270,130136,130137,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
271,130141,130142,35,,item|100001|55,item|400001|1,,,,,,
272,130142,130143,110,,item|100001|90,item|400001|3,,,,,,
273,130143,130144,265,,item|100001|165,item|400001|9,,,,,,
274,130144,130145,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
275,130145,130146,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
276,130146,130147,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
277,130147,130148,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
278,130141,130142,35,,item|100001|55,item|400001|1,,,,,,
279,130142,130143,110,,item|100001|90,item|400001|3,,,,,,
280,130143,130144,265,,item|100001|165,item|400001|9,,,,,,
281,130144,130145,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
282,130145,130146,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
283,130146,130147,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
284,130147,130148,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
285,130151,130152,35,,item|100001|55,item|400001|1,,,,,,
286,130152,130153,110,,item|100001|90,item|400001|3,,,,,,
287,130153,130154,265,,item|100001|165,item|400001|9,,,,,,
288,130154,130155,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
289,130155,130156,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
290,130156,130157,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
291,130157,130158,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
292,130161,130162,25,,item|100001|39,item|400001|1,,,,,,
293,130162,130163,77,,item|100001|63,item|400001|3,,,,,,
294,130163,130164,186,,item|100001|116,item|400001|7,,,,,,
295,130164,130165,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
296,130171,130172,25,,item|100001|39,item|400001|1,,,,,,
297,130172,130173,77,,item|100001|63,item|400001|3,,,,,,
298,130173,130174,186,,item|100001|116,item|400001|7,,,,,,
299,130174,130175,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
300,130181,130182,28,,item|100001|44,item|400001|1,,,,,,
301,130182,130183,88,,item|100001|72,item|400001|3,,,,,,
302,130183,130184,212,,item|100001|132,item|400001|8,,,,,,
303,130184,130185,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
304,130185,130186,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
305,130191,130192,28,,item|100001|44,item|400001|1,,,,,,
306,130192,130193,88,,item|100001|72,item|400001|3,,,,,,
307,130193,130194,212,,item|100001|132,item|400001|8,,,,,,
308,130194,130195,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
309,130195,130196,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
310,140011,140012,25,,item|100001|39,item|400001|1,,,,,,
311,140012,140013,77,,item|100001|63,item|400001|3,,,,,,
312,140013,140014,186,,item|100001|116,item|400001|7,,,,,,
313,140014,140015,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
314,140021,140022,25,,item|100001|39,item|400001|1,,,,,,
315,140022,140023,77,,item|100001|63,item|400001|3,,,,,,
316,140023,140024,186,,item|100001|116,item|400001|7,,,,,,
317,140024,140025,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
318,140031,140032,25,,item|100001|39,item|400001|1,,,,,,
319,140032,140033,77,,item|100001|63,item|400001|3,,,,,,
320,140033,140034,186,,item|100001|116,item|400001|7,,,,,,
321,140034,140035,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
322,140041,140042,28,,item|100001|44,item|400001|1,,,,,,
323,140042,140043,88,,item|100001|72,item|400001|3,,,,,,
324,140043,140044,212,,item|100001|132,item|400001|8,,,,,,
325,140044,140045,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
326,140045,140046,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
327,140051,140052,28,,item|100001|44,item|400001|1,,,,,,
328,140052,140053,88,,item|100001|72,item|400001|3,,,,,,
329,140053,140054,212,,item|100001|132,item|400001|8,,,,,,
330,140054,140055,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
331,140055,140056,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
332,140061,140062,28,,item|100001|44,item|400001|1,,,,,,
333,140062,140063,88,,item|100001|72,item|400001|3,,,,,,
334,140063,140064,212,,item|100001|132,item|400001|8,,,,,,
335,140064,140065,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
336,140065,140066,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
337,140071,140072,32,,item|100001|50,item|400001|1,,,,,,
338,140072,140073,99,,item|100001|81,item|400001|3,,,,,,
339,140073,140074,239,,item|100001|149,item|400001|9,,,,,,
340,140074,140075,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
341,140075,140076,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
342,140076,140077,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
343,140081,140082,32,,item|100001|50,item|400001|1,,,,,,
344,140082,140083,99,,item|100001|81,item|400001|3,,,,,,
345,140083,140084,239,,item|100001|149,item|400001|9,,,,,,
346,140084,140085,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
347,140085,140086,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
348,140086,140087,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
349,140091,140092,35,,item|100001|55,item|400001|1,,,,,,
350,140092,140093,110,,item|100001|90,item|400001|3,,,,,,
351,140093,140094,265,,item|100001|165,item|400001|9,,,,,,
352,140094,140095,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
353,140095,140096,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
354,140096,140097,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
355,140097,140098,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
356,140101,140102,28,,item|100001|44,item|400001|1,,,,,,
357,140102,140103,88,,item|100001|72,item|400001|3,,,,,,
358,140103,140104,212,,item|100001|132,item|400001|8,,,,,,
359,140104,140105,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
360,140105,140106,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
361,140111,140112,32,,item|100001|50,item|400001|1,,,,,,
362,140112,140113,99,,item|100001|81,item|400001|3,,,,,,
363,140113,140114,239,,item|100001|149,item|400001|9,,,,,,
364,140114,140115,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
365,140115,140116,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
366,140116,140117,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
367,140121,140122,32,,item|100001|50,item|400001|1,,,,,,
368,140122,140123,99,,item|100001|81,item|400001|3,,,,,,
369,140123,140124,239,,item|100001|149,item|400001|9,,,,,,
370,140124,140125,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
371,140125,140126,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
372,140126,140127,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
373,140131,140132,32,,item|100001|50,item|400001|1,,,,,,
374,140132,140133,99,,item|100001|81,item|400001|3,,,,,,
375,140133,140134,239,,item|100001|149,item|400001|9,,,,,,
376,140134,140135,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
377,140135,140136,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
378,140136,140137,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
379,140141,140142,35,,item|100001|55,item|400001|1,,,,,,
380,140142,140143,110,,item|100001|90,item|400001|3,,,,,,
381,140143,140144,265,,item|100001|165,item|400001|9,,,,,,
382,140144,140145,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
383,140145,140146,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
384,140146,140147,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
385,140147,140148,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
386,140151,140152,35,,item|100001|55,item|400001|1,,,,,,
387,140152,140153,110,,item|100001|90,item|400001|3,,,,,,
388,140153,140154,265,,item|100001|165,item|400001|9,,,,,,
389,140154,140155,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
390,140155,140156,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
391,140156,140157,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
392,140157,140158,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
393,140161,140162,25,,item|100001|39,item|400001|1,,,,,,
394,140162,140163,77,,item|100001|63,item|400001|3,,,,,,
395,140163,140164,186,,item|100001|116,item|400001|7,,,,,,
396,140164,140165,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
397,140171,140172,25,,item|100001|39,item|400001|1,,,,,,
398,140172,140173,77,,item|100001|63,item|400001|3,,,,,,
399,140173,140174,186,,item|100001|116,item|400001|7,,,,,,
400,140174,140175,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
401,140181,140182,28,,item|100001|44,item|400001|1,,,,,,
402,140182,140183,88,,item|100001|72,item|400001|3,,,,,,
403,140183,140184,212,,item|100001|132,item|400001|8,,,,,,
404,140184,140185,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
405,140185,140186,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
406,140191,140192,28,,item|100001|44,item|400001|1,,,,,,
