卡牌ID,卡牌组ID,卡牌等级,卡牌名字,卡牌类型,卡牌种类,卡牌品质,生命,标志,资源路径,使用水晶数量,评分,卡组数量限制,技能1,技能1,技能2,技能2,技能3,技能3
110095,11009,5,红龙,monster,epic,war,7,1,red_dragon,4,960,2,melee,4,shield,2,flying,0
110096,11009,6,红龙,monster,epic,war,7,1,red_dragon,4,1120,2,melee,5,shield,2,flying,0
110097,11009,7,红龙,monster,epic,war,8,1,red_dragon,4,1280,2,melee,5,shield,2,flying,0
110098,11009,8,红龙,monster,epic,war,8,1,red_dragon,4,1440,2,melee,5,shield,3,flying,0
110101,11010,1,双斧,monster,rare,war,4,1,twinaxe,3,80,2,ranged,2,,,,
110102,11010,2,双斧,monster,rare,war,4,1,twinaxe,3,120,2,ranged,2,mshield,1,,
110103,11010,3,双斧,monster,rare,war,5,1,twinaxe,3,160,2,ranged,2,mshield,1,,
110104,11010,4,双斧,monster,rare,war,5,1,twinaxe,3,200,2,ranged,2,mshield,1,crystal,1
110105,11010,5,双斧,monster,rare,war,5,1,twinaxe,3,240,2,ranged,3,mshield,1,crystal,1
110106,11010,6,双斧,monster,rare,war,5,1,twinaxe,3,280,2,ranged,3,mshield,2,crystal,1
110111,11011,1,食人兔,monster,epic,war,5,1,whiterabbit,2,320,2,melee,3,,,,
110112,11011,2,食人兔,monster,epic,war,5,1,whiterabbit,2,480,2,melee,4,,,,
110113,11011,3,食人兔,monster,epic,war,7,1,whiterabbit,2,640,2,melee,4,,,,
110114,11011,4,食人兔,monster,epic,war,7,1,whiterabbit,2,800,2,melee,5,,,,
110115,11011,5,食人兔,monster,epic,war,7,1,whiterabbit,2,960,2,melee,5,mshield,1,,
110116,11011,6,食人兔,monster,epic,war,7,1,whiterabbit,2,1120,2,melee,6,mshield,1,,
110117,11011,7,食人兔,monster,epic,war,7,1,whiterabbit,2,1280,2,melee,7,mshield,1,,
110118,11011,8,食人兔,monster,epic,war,7,1,whiterabbit,2,1440,2,melee,7,mshield,2,,
110121,11012,1,炸弹神父,monster,rarity,war,3,1,kamicron,3,160,2,rally,2,antimagic,2,,
110122,11012,2,炸弹神父,monster,rarity,war,4,1,kamicron,3,240,2,rally,2,antimagic,2,,
110123,11012,3,炸弹神父,monster,rarity,war,4,1,kamicron,3,320,2,rally,2,antimagic,2,crystal,1
110124,11012,4,炸弹神父,monster,rarity,war,4,1,kamicron,3,400,2,rally,3,antimagic,2,crystal,1
110125,11012,5,炸弹神父,monster,rarity,war,5,1,kamicron,3,480,2,rally,3,antimagic,2,crystal,1
110126,11012,6,炸弹神父,monster,rarity,war,5,1,kamicron,3,560,2,rally,3,antimagic,3,crystal,1
110127,11012,7,炸弹神父,monster,rarity,war,5,1,kamicron,3,640,2,rally,4,antimagic,3,crystal,1
110131,11013,1,渔夫,monster,rarity,war,7,1,fisher_monger,3,160,2,melee,3,,,,
110132,11013,2,渔夫,monster,rarity,war,7,1,fisher_monger,3,240,2,melee,4,,,,
110133,11013,3,渔夫,monster,rarity,war,7,1,fisher_monger,3,320,2,melee,4,disease,1,,
110134,11013,4,渔夫,monster,rarity,war,7,1,fisher_monger,3,400,2,melee,4,disease,2,,
110135,11013,5,渔夫,monster,rarity,war,8,1,fisher_monger,3,480,2,melee,4,disease,2,,
110136,11013,6,渔夫,monster,rarity,war,8,1,fisher_monger,3,560,2,melee,5,disease,2,,
110137,11013,7,渔夫,monster,rarity,war,9,1,fisher_monger,3,640,2,melee,5,disease,3,,
110141,11014,1,猫骑兵,monster,epic,war,5,1,cat_knight,3,320,2,melee,3,charge,1,flying,0
110142,11014,2,猫骑兵,monster,epic,war,5,1,cat_knight,3,480,2,melee,3,charge,2,flying,0
110143,11014,3,猫骑兵,monster,epic,war,5,1,cat_knight,3,640,2,melee,4,charge,2,flying,0
110144,11014,4,猫骑兵,monster,epic,war,7,1,cat_knight,3,800,2,melee,4,charge,2,flying,0
110145,11014,5,猫骑兵,monster,epic,war,7,1,cat_knight,3,960,2,melee,4,charge,3,flying,0
110146,11014,6,猫骑兵,monster,epic,war,8,1,cat_knight,3,1120,2,melee,4,charge,4,flying,0
110147,11014,7,猫骑兵,monster,epic,war,8,1,cat_knight,3,1280,2,melee,5,charge,4,flying,0
110148,11014,8,猫骑兵,monster,epic,war,9,1,cat_knight,3,1440,2,melee,5,charge,5,flying,0
110151,11015,1,恶魔斯诺曾,monster,rarity,war,5,1,snoozemon,3,160,2,melee,3,thrash,2,,
110152,11015,2,恶魔斯诺曾,monster,rarity,war,6,1,snoozemon,3,240,2,melee,3,thrash,2,,
110153,11015,3,恶魔斯诺曾,monster,rarity,war,6,1,snoozemon,3,320,2,melee,4,thrash,2,,
110154,11015,4,恶魔斯诺曾,monster,rarity,war,7,1,snoozemon,3,400,2,melee,4,thrash,2,cleave,0
110155,11015,5,恶魔斯诺曾,monster,rarity,war,7,1,snoozemon,3,480,2,melee,4,thrash,3,cleave,0
110156,11015,6,恶魔斯诺曾,monster,rarity,war,9,1,snoozemon,3,560,2,melee,4,thrash,3,cleave,0
110157,11015,7,恶魔斯诺曾,monster,rarity,war,9,1,snoozemon,3,640,2,melee,5,thrash,3,cleave,0
110161,11016,1,禁默神父,monster,normal,war,5,1,fr_silence,3,40,2,melee,2,silence,1,,
110162,11016,2,禁默神父,monster,normal,war,6,1,fr_silence,3,60,2,melee,2,silence,1,,
110163,11016,3,禁默神父,monster,normal,war,6,1,fr_silence,3,80,2,melee,3,silence,1,,
110164,11016,4,禁默神父,monster,normal,war,7,1,fr_silence,3,100,2,melee,3,silence,1,,
110165,11016,5,禁默神父,monster,normal,war,7,1,fr_silence,3,120,2,melee,4,silence,1,,
110171,11017,1,劫掠穴居人,monster,normal,war,5,1,triglodite_marauders,4,40,2,melee,1,disarm,0,,
110172,11017,2,劫掠穴居人,monster,normal,war,5,1,triglodite_marauders,4,60,2,melee,2,disarm,0,,
110173,11017,3,劫掠穴居人,monster,normal,war,6,1,triglodite_marauders,4,80,2,melee,2,disarm,0,,
110174,11017,4,劫掠穴居人,monster,normal,war,7,1,triglodite_marauders,4,100,2,melee,2,disarm,0,,
110175,11017,5,劫掠穴居人,monster,normal,war,7,1,triglodite_marauders,4,120,2,melee,2,disarm,0,breaker,2
110181,11018,1,屏障骑士,monster,rare,war,4,1,barrier_knight,2,80,2,melee,2,antimagic,1,,
110182,11018,2,屏障骑士,monster,rare,war,5,1,barrier_knight,2,120,2,melee,2,antimagic,1,,
110183,11018,3,屏障骑士,monster,rare,war,5,1,barrier_knight,2,160,2,melee,3,antimagic,1,,
110184,11018,4,屏障骑士,monster,rare,war,6,1,barrier_knight,2,200,2,melee,3,antimagic,1,,
110185,11018,5,屏障骑士,monster,rare,war,7,1,barrier_knight,2,240,2,melee,3,antimagic,1,,
110186,11018,6,屏障骑士,monster,rare,war,7,1,barrier_knight,2,280,2,melee,3,antimagic,2,,
110191,11019,1,秃鹫射手,monster,rare,war,5,1,eagle_archer,4,80,2,ranged,2,drain_crystal,1,,
110192,11019,2,秃鹫射手,monster,rare,war,6,1,eagle_archer,4,120,2,ranged,2,drain_crystal,1,,
110193,11019,3,秃鹫射手,monster,rare,war,7,1,eagle_archer,4,160,2,ranged,2,drain_crystal,1,,
110194,11019,4,秃鹫射手,monster,rare,war,7,1,eagle_archer,4,200,2,ranged,2,drain_crystal,1,breaker,1
110195,11019,5,秃鹫射手,monster,rare,war,7,1,eagle_archer,4,240,2,ranged,2,drain_crystal,1,breaker,2
110196,11019,6,秃鹫射手,monster,rare,war,7,1,eagle_archer,4,280,2,ranged,3,drain_crystal,1,breaker,2
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
120011,12001,1,战鼓,monster,normal,fortune,5,1,lost_drums,3,40,2,melee,2,,,,
120012,12001,2,战鼓,monster,normal,fortune,6,1,lost_drums,3,60,2,melee,2,,,,
120013,12001,3,战鼓,monster,normal,fortune,6,1,lost_drums,3,80,2,melee,2,counter,0,,
120014,12001,4,战鼓,monster,normal,fortune,7,1,lost_drums,3,100,2,melee,2,counter,0,,
120015,12001,5,战鼓,monster,normal,fortune,8,1,lost_drums,3,120,2,melee,2,counter,0,,
120021,12002,1,清洁少女,monster,normal,fortune,2,1,dust_maiden,2,40,2,ranged,2,,,,
120022,12002,2,清洁少女,monster,normal,fortune,3,1,dust_maiden,2,60,2,ranged,2,,,,
120023,12002,3,清洁少女,monster,normal,fortune,3,1,dust_maiden,2,80,2,ranged,2,flying,0,,
120024,12002,4,清洁少女,monster,normal,fortune,4,1,dust_maiden,2,100,2,ranged,2,flying,0,,
120025,12002,5,清洁少女,monster,normal,fortune,5,1,dust_maiden,2,120,2,ranged,2,flying,0,,
120031,12003,1,不是老鼠,monster,normal,fortune,4,1,notarat,2,40,2,chance,2,,,,
120032,12003,2,不是老鼠,monster,normal,fortune,5,1,notarat,2,60,2,chance,2,,,,
120033,12003,3,不是老鼠,monster,normal,fortune,5,1,notarat,2,80,2,chance,2,crystal,1,,
120034,12003,4,不是老鼠,monster,normal,fortune,6,1,notarat,2,100,2,chance,2,crystal,1,,
120035,12003,5,不是老鼠,monster,normal,fortune,6,1,notarat,2,120,2,chance,3,crystal,1,,
120041,12004,1,礼服射手,monster,rare,fortune,3,1,tux_shooter,2,80,2,ranged,2,,,,
120042,12004,2,礼服射手,monster,rare,fortune,4,1,tux_shooter,2,120,2,ranged,2,,,,
120043,12004,3,礼服射手,monster,rare,fortune,5,1,tux_shooter,2,160,2,ranged,2,,,,
120044,12004,4,礼服射手,monster,rare,fortune,7,1,tux_shooter,2,200,2,ranged,2,,,,
120045,12004,5,礼服射手,monster,rare,fortune,8,1,tux_shooter,2,240,2,ranged,2,,,,
120046,12004,6,礼服射手,monster,rare,fortune,8,1,tux_shooter,2,280,2,ranged,3,,,,
120051,12005,1,功夫蜥蜴,monster,rare,fortune,5,1,leezard,3,80,2,melee,2,counter,0,,
120052,12005,2,功夫蜥蜴,monster,rare,fortune,6,1,leezard,3,120,2,melee,2,counter,0,,
120053,12005,3,功夫蜥蜴,monster,rare,fortune,6,1,leezard,3,160,2,melee,3,counter,0,,
120054,12005,4,功夫蜥蜴,monster,rare,fortune,7,1,leezard,3,200,2,melee,3,counter,0,,
120055,12005,5,功夫蜥蜴,monster,rare,fortune,8,1,leezard,3,240,2,melee,3,counter,0,,
120056,12005,6,功夫蜥蜴,monster,rare,fortune,8,1,leezard,3,280,2,melee,4,counter,0,,
120061,12006,1,冬熊,monster,rare,fortune,6,1,abobinable,4,80,2,melee,3,,,,
120062,12006,2,冬熊,monster,rare,fortune,7,1,abobinable,4,120,2,melee,3,,,,
120063,12006,3,冬熊,monster,rare,fortune,7,1,abobinable,4,160,2,melee,3,cleave,0,,
120064,12006,4,冬熊,monster,rare,fortune,7,1,abobinable,4,200,2,melee,3,cleave,0,swap,0
120065,12006,5,冬熊,monster,rare,fortune,8,1,abobinable,4,240,2,melee,3,cleave,0,swap,0
120066,12006,6,冬熊,monster,rare,fortune,8,1,abobinable,4,280,2,melee,4,cleave,0,swap,0
120071,12007,1,忍者狐狸,monster,rarity,fortune,5,1,ninjafox,2,160,2,melee,2,ranged,1,,
120072,12007,2,忍者狐狸,monster,rarity,fortune,5,1,ninjafox,2,240,2,melee,3,ranged,1,,
120073,12007,3,忍者狐狸,monster,rarity,fortune,6,1,ninjafox,2,320,2,melee,3,ranged,1,,
120074,12007,4,忍者狐狸,monster,rarity,fortune,6,1,ninjafox,2,400,2,melee,3,ranged,2,,
120075,12007,5,忍者狐狸,monster,rarity,fortune,7,1,ninjafox,2,480,2,melee,3,ranged,2,,
120076,12007,6,忍者狐狸,monster,rarity,fortune,7,1,ninjafox,2,560,2,melee,3,ranged,3,,
120077,12007,7,忍者狐狸,monster,rarity,fortune,8,1,ninjafox,2,640,2,melee,3,ranged,3,,
120081,12008,1,忍者龟,monster,rarity,fortune,6,1,ninjutsurtle,4,160,2,melee,3,shield,1,,
120082,12008,2,忍者龟,monster,rarity,fortune,7,1,ninjutsurtle,4,320,2,melee,3,shield,1,,
120083,12008,3,忍者龟,monster,rarity,fortune,7,1,ninjutsurtle,4,480,2,melee,3,shield,2,,
120084,12008,4,忍者龟,monster,rarity,fortune,7,1,ninjutsurtle,4,640,2,melee,4,shield,2,,
120085,12008,5,忍者龟,monster,rarity,fortune,8,1,ninjutsurtle,4,800,2,melee,4,shield,2,,
120086,12008,6,忍者龟,monster,rarity,fortune,9,1,ninjutsurtle,4,960,2,melee,4,shield,2,,
120087,12008,7,忍者龟,monster,rarity,fortune,9,1,ninjutsurtle,4,160,2,melee,4,shield,3,,
120091,12009,1,睡龙,monster,epic,fortune,6,1,lazydragon,5,320,2,magic,3,reflect,0,,
120092,12009,2,睡龙,monster,epic,fortune,7,1,lazydragon,5,480,2,magic,3,reflect,0,,
120093,12009,3,睡龙,monster,epic,fortune,8,1,lazydragon,5,640,2,magic,3,reflect,0,,
120094,12009,4,睡龙,monster,epic,fortune,8,1,lazydragon,5,800,2,magic,3,reflect,0,crystal,1
120095,12009,5,睡龙,monster,epic,fortune,9,1,lazydragon,5,960,2,magic,3,reflect,0,crystal,1
120096,12009,6,睡龙,monster,epic,fortune,11,1,lazydragon,5,1120,2,magic,3,reflect,0,crystal,1
120097,12009,7,睡龙,monster,epic,fortune,12,1,lazydragon,5,1280,2,magic,3,reflect,0,crystal,1
120098,12009,8,睡龙,monster,epic,fortune,12,1,lazydragon,5,1440,2,magic,4,reflect,0,crystal,1
120101,12010,1,恶魔地毯,monster,rare,fortune,4,1,flying_carpet,2,80,2,ranged,2,,,,
120102,12010,2,恶魔地毯,monster,rare,fortune,5,1,flying_carpet,2,120,2,ranged,2,,,,
120103,12010,3,恶魔地毯,monster,rare,fortune,4,1,flying_carpet,2,160,2,ranged,2,flying,0,,
120104,12010,4,恶魔地毯,monster,rare,fortune,5,1,flying_carpet,2,200,2,ranged,2,flying,0,,
120105,12010,5,恶魔地毯,monster,rare,fortune,4,1,flying_carpet,2,240,2,ranged,3,flying,0,,
120106,12010,6,恶魔地毯,monster,rare,fortune,3,1,flying_carpet,2,280,2,ranged,3,flying,0,disarm,0
120111,12011,1,鳄鱼,monster,rarity,fortune,5,1,crocodime,2,160,2,chance,3,,,,
120112,12011,2,鳄鱼,monster,rarity,fortune,6,1,crocodime,2,240,2,chance,3,,,,
120113,12011,3,鳄鱼,monster,rarity,fortune,7,1,crocodime,2,320,2,chance,3,,,,
120114,12011,4,鳄鱼,monster,rarity,fortune,7,1,crocodime,2,400,2,chance,3,stealth,0,,
120115,12011,5,鳄鱼,monster,rarity,fortune,8,1,crocodime,2,480,2,chance,3,stealth,0,,
120116,12011,6,鳄鱼,monster,rarity,fortune,9,1,crocodime,2,560,2,chance,3,stealth,0,,
120117,12011,7,鳄鱼,monster,rarity,fortune,9,1,crocodime,2,640,2,chance,4,stealth,0,,
120121,12012,1,弯腰黑猩猩,monster,rarity,fortune,5,1,chimpbow,3,160,2,ranged,2,opportunity,0,,
120122,12012,2,弯腰黑猩猩,monster,rarity,fortune,6,1,chimpbow,3,240,2,ranged,2,opportunity,0,,
120123,12012,3,弯腰黑猩猩,monster,rarity,fortune,7,1,chimpbow,3,320,2,ranged,2,opportunity,0,,
120124,12012,4,弯腰黑猩猩,monster,rarity,fortune,7,1,chimpbow,3,400,2,ranged,3,opportunity,0,,
120125,12012,5,弯腰黑猩猩,monster,rarity,fortune,8,1,chimpbow,3,480,2,ranged,3,opportunity,0,,
120126,12012,6,弯腰黑猩猩,monster,rarity,fortune,9,1,chimpbow,3,560,2,ranged,3,opportunity,0,,
120127,12012,7,弯腰黑猩猩,monster,rarity,fortune,9,1,chimpbow,3,640,2,ranged,4,opportunity,0,,
120131,12013,1,狮鹫,monster,rarity,fortune,5,1,griffin,3,160,2,melee,2,flying,0,,
120132,12013,2,狮鹫,monster,rarity,fortune,6,1,griffin,3,240,2,melee,2,flying,0,,
120133,12013,3,狮鹫,monster,rarity,fortune,6,1,griffin,3,320,2,melee,2,flying,0,counter,0
120134,12013,4,狮鹫,monster,rarity,fortune,6,1,griffin,3,400,2,melee,3,flying,0,counter,0
120135,12013,5,狮鹫,monster,rarity,fortune,6,1,griffin,3,480,2,melee,4,flying,0,counter,0
120136,12013,6,狮鹫,monster,rarity,fortune,7,1,griffin,3,560,2,melee,4,flying,0,counter,0
120137,12013,7,狮鹫,monster,rarity,fortune,7,1,griffin,3,640,2,melee,5,flying,0,counter,0
120141,12014,1,胖钳子,monster,epic,fortune,7,1,pirate_lobster,4,320,2,melee,3,shield,1,,
120142,12014,2,胖钳子,monster,epic,fortune,7,1,pirate_lobster,4,480,2,melee,4,shield,1,,
120143,12014,3,胖钳子,monster,epic,fortune,7,1,pirate_lobster,4,640,2,melee,4,shield,2,,
120144,12014,4,胖钳子,monster,epic,fortune,8,1,pirate_lobster,4,800,2,melee,4,shield,2,,
120145,12014,5,胖钳子,monster,epic,fortune,7,1,pirate_lobster,4,960,2,melee,4,shield,3,,
120146,12014,6,胖钳子,monster,epic,fortune,7,1,pirate_lobster,4,1120,2,melee,5,shield,3,,
120147,12014,7,胖钳子,monster,epic,fortune,7,1,pirate_lobster,4,1280,2,melee,5,shield,3,counter,0
120148,12014,8,胖钳子,monster,epic,fortune,8,1,pirate_lobster,4,1440,2,melee,6,shield,3,counter,0
120151,12015,1,尖嘴波坎,monster,epic,fortune,3,1,boocan,2,320,2,ranged,3,,,,
120152,12015,2,尖嘴波坎,monster,epic,fortune,4,1,boocan,2,480,2,ranged,3,,,,
120153,12015,3,尖嘴波坎,monster,epic,fortune,4,1,boocan,2,640,2,ranged,4,,,,
120154,12015,4,尖嘴波坎,monster,epic,fortune,5,1,boocan,2,800,2,ranged,4,,,,
120155,12015,5,尖嘴波坎,monster,epic,fortune,6,1,boocan,2,960,2,ranged,4,,,,
120156,12015,6,尖嘴波坎,monster,epic,fortune,7,1,boocan,2,1120,2,ranged,4,,,,
120157,12015,7,尖嘴波坎,monster,epic,fortune,8,1,boocan,2,1280,2,ranged,4,,,,
120158,12015,8,尖嘴波坎,monster,epic,fortune,8,1,boocan,2,1440,2,ranged,5,,,,
120161,12016,1,魔装地毯,monster,normal,fortune,3,1,magic_carpet,3,40,2,ranged,2,boost,2,,
120162,12016,2,魔装地毯,monster,normal,fortune,4,1,magic_carpet,3,60,2,ranged,2,boost,2,,
120163,12016,3,魔装地毯,monster,normal,fortune,4,1,magic_carpet,3,80,2,ranged,2,boost,3,melee,1
120164,12016,4,魔装地毯,monster,normal,fortune,5,1,magic_carpet,3,100,2,ranged,2,boost,3,melee,1
120165,12016,5,魔装地毯,monster,normal,fortune,5,1,magic_carpet,3,120,2,ranged,3,boost,3,melee,2
120171,12017,1,气功蜥蜴,monster,normal,fortune,4,1,qigong_leezard,3,40,2,melee,1,reflect,0,,
120172,12017,2,气功蜥蜴,monster,normal,fortune,5,1,qigong_leezard,3,60,2,melee,1,reflect,0,,
120173,12017,3,气功蜥蜴,monster,normal,fortune,5,1,qigong_leezard,3,80,2,melee,2,reflect,0,,
120174,12017,4,气功蜥蜴,monster,normal,fortune,6,1,qigong_leezard,3,100,2,melee,2,reflect,0,,
120175,12017,5,气功蜥蜴,monster,normal,fortune,6,1,qigong_leezard,3,120,2,melee,3,reflect,0,,
120181,12018,1,疯鳄鱼,monster,rare,fortune,5,1,mad_crocodime,3,80,2,melee,1,chance,2,,
120182,12018,2,疯鳄鱼,monster,rare,fortune,5,1,mad_crocodime,3,120,2,melee,2,chance,2,,
120183,12018,3,疯鳄鱼,monster,rare,fortune,6,1,mad_crocodime,3,160,2,melee,2,chance,2,,
120184,12018,4,疯鳄鱼,monster,rare,fortune,7,1,mad_crocodime,3,200,2,melee,2,chance,2,,
120185,12018,5,疯鳄鱼,monster,rare,fortune,8,1,mad_crocodime,3,240,2,melee,2,chance,2,,
120186,12018,6,疯鳄鱼,monster,rare,fortune,8,1,mad_crocodime,3,280,2,melee,2,chance,3,,
120191,12019,1,破甲射手,monster,rare,fortune,5,1,breaker,4,80,2,ranged,3,breaker,1,,
120192,12019,2,破甲射手,monster,rare,fortune,5,1,breaker,4,120,2,ranged,3,breaker,2,,
120193,12019,3,破甲射手,monster,rare,fortune,6,1,breaker,4,160,2,ranged,3,breaker,2,,
120194,12019,4,破甲射手,monster,rare,fortune,6,1,breaker,4,200,2,ranged,3,breaker,3,,
120195,12019,5,破甲射手,monster,rare,fortune,7,1,breaker,4,240,2,ranged,3,breaker,3,,
120196,12019,6,破甲射手,monster,rare,fortune,7,1,breaker,4,280,2,ranged,4,breaker,3,,
,,,,,,,,,,,,,,,,,,
130011,13001,1,雪刃,monster,normal,balance,4,1,sharp_flake,2,40,2,melee,1,,,,
130012,13001,2,雪刃,monster,normal,balance,4,1,sharp_flake,2,60,2,melee,1,ranged,1,,
130013,13001,3,雪刃,monster,normal,balance,4,1,sharp_flake,2,80,2,melee,1,ranged,1,crystal,1
130014,13001,4,雪刃,monster,normal,balance,4,1,sharp_flake,2,100,2,melee,1,ranged,2,crystal,1
130015,13001,5,雪刃,monster,normal,balance,4,1,sharp_flake,2,120,2,melee,2,ranged,2,crystal,1
130021,13002,1,幽灵护盾,monster,normal,balance,5,1,ghostshield,3,40,2,shield,1,mshield,1,,
130022,13002,2,幽灵护盾,monster,normal,balance,6,1,ghostshield,3,60,2,shield,1,mshield,1,,
130023,13002,3,幽灵护盾,monster,normal,balance,6,1,ghostshield,3,80,2,shield,2,mshield,1,,
130024,13002,4,幽灵护盾,monster,normal,balance,6,1,ghostshield,3,100,2,shield,2,mshield,1,boost,1
130025,13002,5,幽灵护盾,monster,normal,balance,6,1,ghostshield,3,120,2,shield,2,mshield,2,boost,1
130031,13003,1,书呆子,monster,normal,balance,3,1,bookworm,2,40,2,magic,1,,,,
130032,13003,2,书呆子,monster,normal,balance,4,1,bookworm,2,60,2,magic,1,,,,
130033,13003,3,书呆子,monster,normal,balance,4,1,bookworm,2,80,2,magic,2,,,,
130034,13003,4,书呆子,monster,normal,balance,5,1,bookworm,2,100,2,magic,2,,,,
130035,13003,5,书呆子,monster,normal,balance,5,1,bookworm,2,120,2,magic,2,mshield,1,,
