卡牌ID,熟练度等级下限,熟练度等级上限,任务类型,参数1,参数2,参数3,参数4,结果,随机概率,奖励类型,奖励id,奖励数量,奖励类型,奖励id,奖励数量,描述
600026,6,6,6,0,monster,3,2,3,1334,chest,43,1,resource,500001,10,召唤3个费用3以下的怪物（包含费用3）
600027,6,6,6,0,monster,4,2,4,1334,chest,43,1,resource,500001,10,召唤4个费用4以下的怪物（包含费用4）
600028,6,6,6,0,monster,2,1,3,1334,chest,43,1,resource,500001,10,召唤3个费用2以上的怪物（包含费用2）
600029,6,6,6,0,monster,3,1,2,1334,chest,43,1,resource,500001,10,召唤2个费用3以上的怪物（包含费用3）
600030,6,6,6,0,armor|equip|consume,2,2,2,1334,chest,43,1,resource,500001,10,召唤2个费用2以下的道具（包含费用2）
600031,6,6,6,0,armor|equip|consume,3,2,3,1334,chest,43,1,resource,500001,10,召唤3个费用3以下的道具（包含费用3）
600032,6,6,6,0,armor|equip|consume,4,2,4,1334,chest,43,1,resource,500001,10,召唤4个费用4以下的道具（包含费用4）
600033,6,6,6,0,armor|equip|consume,2,1,3,1334,chest,43,1,resource,500001,10,召唤3个费用2以上的道具（包含费用2）
600034,6,6,6,0,armor|equip|consume,3,1,2,1334,chest,43,1,resource,500001,10,召唤2个费用3以上的道具（包含费用3）
600035,6,6,6,0,monster|armor|equip|consume,2,2,2,1334,chest,43,1,resource,500001,10,召唤2个费用2以下的卡片（包含费用2）
600036,6,6,6,0,monster|armor|equip|consume,3,2,3,1334,chest,43,1,resource,500001,10,召唤3个费用3以下的卡片（包含费用3）
600037,6,6,6,0,monster|armor|equip|consume,4,2,4,1334,chest,43,1,resource,500001,10,召唤4个费用4以下的卡片（包含费用4）
600038,6,6,6,0,monster|armor|equip|consume,2,1,3,1334,chest,43,1,resource,500001,10,召唤3个费用2以上的卡片（包含费用2）
600039,6,6,6,0,monster|armor|equip|consume,3,1,2,1334,chest,43,1,resource,500001,10,召唤2个费用3以上的卡片（包含费用3）
600040,6,6,8,0,0,0,0,2,15000,chest,43,1,resource,500001,10,完成2次PVE胜利
700001,7,7,2,war,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,召唤2个战争（红色）卡片并获得1场胜利
700002,7,7,2,fortune,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,召唤2个命运（黄色）卡片并获得1场胜利
700003,7,7,2,balance,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,召唤2个平衡（蓝色）卡片并获得1场胜利
700004,7,7,2,nature,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,召唤2个自然（绿色）卡片并获得1场胜利
700005,7,7,2,chaos,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,召唤2个混乱（紫色）卡片并获得1场胜利
700006,7,7,2,all,monster|armor|equip|consume,2,0,1,1000,chest,44,1,resource,500001,10,召唤2个全能（白色）卡片并获得1场胜利
700007,7,7,2,war|fortune,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个战争或命运（红色或黄色）卡片并获得1场胜利
700008,7,7,2,war|balance,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）卡片并获得1场胜利
700009,7,7,2,war|nature,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个战争或自然（红色或绿色）卡片并获得1场胜利
700010,7,7,2,war|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）卡片并获得1场胜利
700011,7,7,2,war|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个战争或全能（红色或白色）卡片并获得1场胜利
700012,7,7,2,fortune|balance,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）卡片并获得1场胜利
700013,7,7,2,fortune|nature,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）卡片并获得1场胜利
700014,7,7,2,fortune|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）卡片并获得1场胜利
700015,7,7,2,fortune|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个命运或全能（黄色或白色）卡片并获得1场胜利
700016,7,7,2,balance|nature,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）卡片并获得1场胜利
700017,7,7,2,balance|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）卡片并获得1场胜利
700018,7,7,2,balance|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个平衡或全能（蓝色或紫色）卡片并获得1场胜利
700019,7,7,2,nature|chaos,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）卡片并获得1场胜利
700020,7,7,2,nature|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个自然或全能（绿色或白色）卡片并获得1场胜利
700021,7,7,2,chaos|all,monster|armor|equip|consume,3,0,1,1000,chest,44,1,resource,500001,10,召唤3个混乱或全能（紫色或白色）卡片并获得1场胜利
700022,7,7,3,0,0,0,0,1,13990,chest,44,1,resource,500001,10,赢得一场胜利
700023,7,7,4,0,0,0,0,6,15000,chest,44,1,resource,500001,10,消灭6个怪物
700024,7,7,5,0,0,0,0,6,15000,chest,44,1,resource,500001,10,使用6个道具
700025,7,7,6,0,monster,2,2,2,1334,chest,44,1,resource,500001,10,召唤2个费用2以下的怪物（包含费用2）
700026,7,7,6,0,monster,3,2,3,1334,chest,44,1,resource,500001,10,召唤3个费用3以下的怪物（包含费用3）
700027,7,7,6,0,monster,4,2,4,1334,chest,44,1,resource,500001,10,召唤4个费用4以下的怪物（包含费用4）
700028,7,7,6,0,monster,2,1,3,1334,chest,44,1,resource,500001,10,召唤3个费用2以上的怪物（包含费用2）
700029,7,7,6,0,monster,3,1,2,1334,chest,44,1,resource,500001,10,召唤2个费用3以上的怪物（包含费用3）
700030,7,7,6,0,armor|equip|consume,2,2,2,1334,chest,44,1,resource,500001,10,召唤2个费用2以下的道具（包含费用2）
700031,7,7,6,0,armor|equip|consume,3,2,3,1334,chest,44,1,resource,500001,10,召唤3个费用3以下的道具（包含费用3）
700032,7,7,6,0,armor|equip|consume,4,2,4,1334,chest,44,1,resource,500001,10,召唤4个费用4以下的道具（包含费用4）
700033,7,7,6,0,armor|equip|consume,2,1,3,1334,chest,44,1,resource,500001,10,召唤3个费用2以上的道具（包含费用2）
700034,7,7,6,0,armor|equip|consume,3,1,2,1334,chest,44,1,resource,500001,10,召唤2个费用3以上的道具（包含费用3）
700035,7,7,6,0,monster|armor|equip|consume,2,2,2,1334,chest,44,1,resource,500001,10,召唤2个费用2以下的卡片（包含费用2）
700036,7,7,6,0,monster|armor|equip|consume,3,2,3,1334,chest,44,1,resource,500001,10,召唤3个费用3以下的卡片（包含费用3）
700037,7,7,6,0,monster|armor|equip|consume,4,2,4,1334,chest,44,1,resource,500001,10,召唤4个费用4以下的卡片（包含费用4）
700038,7,7,6,0,monster|armor|equip|consume,2,1,3,1334,chest,44,1,resource,500001,10,召唤3个费用2以上的卡片（包含费用2）
700039,7,7,6,0,monster|armor|equip|consume,3,1,2,1334,chest,44,1,resource,500001,10,召唤2个费用3以上的卡片（包含费用3）
700040,7,7,8,0,0,0,0,2,15000,chest,44,1,resource,500001,10,完成2次PVE胜利
800001,8,8,2,war,monster,2,0,1,334,chest,45,1,resource,500001,10,召唤2个战争（红色）怪物并获得1场胜利
800002,8,8,2,fortune,monster,2,0,1,334,chest,45,1,resource,500001,10,召唤2个命运（黄色）怪物并获得1场胜利
800003,8,8,2,balance,monster,2,0,1,334,chest,45,1,resource,500001,10,召唤2个平衡（蓝色）怪物并获得1场胜利
800004,8,8,2,nature,monster,2,0,1,334,chest,45,1,resource,500001,10,召唤2个自然（绿色）怪物并获得1场胜利
800005,8,8,2,chaos,monster,2,0,1,334,chest,45,1,resource,500001,10,召唤2个混乱（紫色）怪物并获得1场胜利
800006,8,8,2,war|fortune,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或命运（红色或黄色）怪物并获得1场胜利
800007,8,8,2,war|balance,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）怪物并获得1场胜利
800008,8,8,2,war|nature,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或自然（红色或绿色）怪物并获得1场胜利
800009,8,8,2,war|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）怪物并获得1场胜利
800010,8,8,2,fortune|balance,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）怪物并获得1场胜利
800011,8,8,2,fortune|nature,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）怪物并获得1场胜利
800012,8,8,2,fortune|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）怪物并获得1场胜利
800013,8,8,2,balance|nature,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）怪物并获得1场胜利
800014,8,8,2,balance|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）怪物并获得1场胜利
800015,8,8,2,nature|chaos,monster,3,0,1,334,chest,45,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）怪物并获得1场胜利
800016,8,8,2,war,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,召唤2个战争（红色）道具并获得1场胜利
800017,8,8,2,fortune,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,召唤2个命运（黄色）道具并获得1场胜利
800018,8,8,2,balance,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,召唤2个平衡（蓝色）道具并获得1场胜利
800019,8,8,2,nature,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,召唤2个自然（绿色）道具并获得1场胜利
800020,8,8,2,chaos,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,召唤2个混乱（紫色）道具并获得1场胜利
800021,8,8,2,all,armor|equip|consume,2,0,1,334,chest,45,1,resource,500001,10,召唤2个全能（白色）道具并获得1场胜利
800022,8,8,2,war|fortune,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或命运（红色或黄色）道具并获得1场胜利
800023,8,8,2,war|balance,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）道具并获得1场胜利
800024,8,8,2,war|nature,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或自然（红色或绿色）道具并获得1场胜利
800025,8,8,2,war|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）道具并获得1场胜利
800026,8,8,2,war|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个战争或全能（红色或白色）道具并获得1场胜利
800027,8,8,2,fortune|balance,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）道具并获得1场胜利
800028,8,8,2,fortune|nature,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）道具并获得1场胜利
800029,8,8,2,fortune|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）道具并获得1场胜利
800030,8,8,2,fortune|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或全能（黄色或白色）道具并获得1场胜利
800031,8,8,2,balance|nature,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）道具并获得1场胜利
800032,8,8,2,balance|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）道具并获得1场胜利
800033,8,8,2,balance|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个平衡或全能（蓝色或紫色）道具并获得1场胜利
800034,8,8,2,nature|chaos,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）道具并获得1场胜利
800035,8,8,2,nature|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个自然或全能（绿色或白色）道具并获得1场胜利
800036,8,8,2,chaos|all,armor|equip|consume,3,0,1,334,chest,45,1,resource,500001,10,召唤3个混乱或全能（紫色或白色）道具并获得1场胜利
800037,8,8,2,war,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,召唤4个战争（红色）卡片并获得1场胜利
800038,8,8,2,fortune,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,召唤4个命运（黄色）卡片并获得1场胜利
800039,8,8,2,balance,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,召唤4个平衡（蓝色）卡片并获得1场胜利
800040,8,8,2,nature,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,召唤4个自然（绿色）卡片并获得1场胜利
800041,8,8,2,chaos,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,召唤4个混乱（紫色）卡片并获得1场胜利
800042,8,8,2,all,monster|armor|equip|consume,4,0,1,334,chest,45,1,resource,500001,10,召唤4个全能（白色）卡片并获得1场胜利
800043,8,8,2,war|fortune,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个战争或命运（红色或黄色）卡片并获得1场胜利
800044,8,8,2,war|balance,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个战争或平衡（红色或蓝色）卡片并获得1场胜利
800045,8,8,2,war|nature,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个战争或自然（红色或绿色）卡片并获得1场胜利
800046,8,8,2,war|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个战争或混乱（红色或紫色）卡片并获得1场胜利
800047,8,8,2,war|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个战争或全能（红色或白色）卡片并获得1场胜利
800048,8,8,2,fortune|balance,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）卡片并获得1场胜利
800049,8,8,2,fortune|nature,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个命运或自然（黄色或绿色）卡片并获得1场胜利
800050,8,8,2,fortune|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个命运或混乱（黄色或紫色）卡片并获得1场胜利
800051,8,8,2,fortune|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个命运或全能（黄色或白色）卡片并获得1场胜利
800052,8,8,2,balance|nature,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个平衡或自然（蓝色或绿色）卡片并获得1场胜利
800053,8,8,2,balance|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个平衡或混乱（蓝色或紫色）卡片并获得1场胜利
800054,8,8,2,balance|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个平衡或全能（蓝色或紫色）卡片并获得1场胜利
800055,8,8,2,nature|chaos,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个自然或混乱（绿色或紫色）卡片并获得1场胜利
800056,8,8,2,nature|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个自然或全能（绿色或白色）卡片并获得1场胜利
800057,8,8,2,chaos|all,monster|armor|equip|consume,5,0,1,334,chest,45,1,resource,500001,10,召唤5个混乱或全能（紫色或白色）卡片并获得1场胜利
800058,8,8,3,0,0,0,0,1,14962,chest,45,1,resource,500001,10,赢得一场胜利
800059,8,8,4,0,0,0,0,6,15000,chest,45,1,resource,500001,10,消灭6个怪物
800060,8,8,5,0,0,0,0,6,15000,chest,45,1,resource,500001,10,使用6个道具
800061,8,8,6,0,monster,2,2,4,1000,chest,45,1,resource,500001,10,召唤4个费用2以下的怪物（包含费用2）
800062,8,8,6,0,monster,3,2,5,1000,chest,45,1,resource,500001,10,召唤5个费用3以下的怪物（包含费用3）
800063,8,8,6,0,monster,4,2,6,1000,chest,45,1,resource,500001,10,召唤6个费用4以下的怪物（包含费用4）
800064,8,8,6,0,monster,2,1,5,1000,chest,45,1,resource,500001,10,召唤5个费用2以上的怪物（包含费用2）
800065,8,8,6,0,monster,3,1,4,1000,chest,45,1,resource,500001,10,召唤4个费用3以上的怪物（包含费用3）
800066,8,8,6,0,monster,4,1,3,1000,chest,45,1,resource,500001,10,召唤3个费用4以上的怪物（包含费用4）
800067,8,8,3,0,0,0,0,1,1000,chest,45,1,resource,500001,10,赢得一场胜利
800068,8,8,6,0,armor|equip|consume,2,2,4,1000,chest,45,1,resource,500001,10,召唤4个费用2以下的道具（包含费用2）
800069,8,8,6,0,armor|equip|consume,3,2,5,1000,chest,45,1,resource,500001,10,召唤5个费用3以下的道具（包含费用3）
800070,8,8,6,0,armor|equip|consume,4,2,6,1000,chest,45,1,resource,500001,10,召唤6个费用4以下的道具（包含费用4）
800071,8,8,6,0,armor|equip|consume,2,1,5,1000,chest,45,1,resource,500001,10,召唤5个费用2以上的道具（包含费用2）
800072,8,8,6,0,armor|equip|consume,3,1,4,1000,chest,45,1,resource,500001,10,召唤4个费用3以上的道具（包含费用3）
800073,8,8,6,0,armor|equip|consume,4,1,3,1000,chest,45,1,resource,500001,10,召唤3个费用4以上的道具（包含费用4）
800074,8,8,3,0,0,0,0,1,1000,chest,45,1,resource,500001,10,赢得一场胜利
800075,8,8,6,0,monster|armor|equip|consume,2,2,4,1000,chest,45,1,resource,500001,10,召唤4个费用2以下的卡片（包含费用2）
800076,8,8,6,0,monster|armor|equip|consume,3,2,5,1000,chest,45,1,resource,500001,10,召唤5个费用3以下的卡片（包含费用3）
800077,8,8,6,0,monster|armor|equip|consume,4,2,6,1000,chest,45,1,resource,500001,10,召唤6个费用4以下的卡片（包含费用4）
800078,8,8,6,0,monster|armor|equip|consume,2,1,5,1000,chest,45,1,resource,500001,10,召唤5个费用2以上的卡片（包含费用2）
800079,8,8,6,0,monster|armor|equip|consume,3,1,4,1000,chest,45,1,resource,500001,10,召唤4个费用3以上的卡片（包含费用3）
800080,8,8,6,0,monster|armor|equip|consume,4,1,3,1000,chest,45,1,resource,500001,10,召唤3个费用4以上的卡片（包含费用4）
800081,8,8,3,0,0,0,0,1,1000,chest,45,1,resource,500001,10,赢得一场胜利
800082,8,8,8,0,0,0,0,2,15000,chest,45,1,resource,500001,10,完成2次PVE胜利
900001,9,9,2,war,monster,2,0,1,334,chest,46,1,resource,500001,10,召唤2个战争（红色）怪物并获得1场胜利
900002,9,9,2,fortune,monster,2,0,1,334,chest,46,1,resource,500001,10,召唤2个命运（黄色）怪物并获得1场胜利
900003,9,9,2,balance,monster,2,0,1,334,chest,46,1,resource,500001,10,召唤2个平衡（蓝色）怪物并获得1场胜利
900004,9,9,2,nature,monster,2,0,1,334,chest,46,1,resource,500001,10,召唤2个自然（绿色）怪物并获得1场胜利
900005,9,9,2,chaos,monster,2,0,1,334,chest,46,1,resource,500001,10,召唤2个混乱（紫色）怪物并获得1场胜利
900006,9,9,2,war|fortune,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或命运（红色或黄色）怪物并获得1场胜利
900007,9,9,2,war|balance,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）怪物并获得1场胜利
900008,9,9,2,war|nature,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或自然（红色或绿色）怪物并获得1场胜利
900009,9,9,2,war|chaos,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）怪物并获得1场胜利
900010,9,9,2,fortune|balance,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）怪物并获得1场胜利
900011,9,9,2,fortune|nature,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）怪物并获得1场胜利
