ID,卡牌ID,道具ID,道具数量,道具1ID,道具1数量
158,26011,200001,136,,
159,21012,200001,136,,
160,22012,200001,136,,
161,23012,200001,136,,
162,24012,200001,136,,
163,25012,200001,136,,
164,26012,200001,136,,
165,21013,200001,136,,
166,22013,200001,136,,
167,23013,200001,136,,
168,24013,200001,136,,
169,25013,200001,136,,
170,26013,200001,136,,
171,21014,200001,136,,
172,22014,200001,136,,
173,23014,200001,136,,
174,24014,200001,136,,
175,25014,200001,136,,
176,26014,200001,136,,
177,21015,200001,136,,
178,22015,200001,136,,
179,23015,200001,136,,
180,24015,200001,136,,
181,25015,200001,136,,
182,26015,200001,136,,
183,21016,200001,136,,
184,22016,200001,136,,
185,24016,200001,136,,
186,25016,200001,136,,
187,26016,200001,136,,
188,21017,200001,136,,
189,22017,200001,136,,
190,23017,200001,136,,
191,24017,200001,136,,
192,26017,200001,136,,
193,22018,200001,136,,
194,23018,200001,136,,
195,24018,200001,136,,
196,25018,200001,136,,
197,26018,200001,136,,
198,21019,200001,136,,
199,23019,200001,136,,
200,24019,200001,136,,
201,25019,200001,136,,
202,26019,200001,136,,
203,21020,200001,136,,
204,22020,200001,136,,
205,23020,200001,136,,
206,25020,200001,136,,
207,26020,200001,136,,
208,21021,200001,644,,
209,22021,200001,644,,
210,23021,200001,644,,
211,24021,200001,644,,
212,25021,200001,644,,
213,26021,200001,644,,
214,22022,200001,644,,
215,23022,200001,644,,
216,24022,200001,644,,
217,26022,200001,644,,
218,22023,200001,644,,
219,23023,200001,644,,
220,24023,200001,644,,
221,26023,200001,644,,
222,22024,200001,644,,
223,23024,200001,644,,
224,24024,200001,644,,
225,25024,200001,644,,
226,26024,200001,644,,
227,21025,200001,644,,
228,22025,200001,644,,
229,23025,200001,644,,
230,24025,200001,644,,
231,26025,200001,644,,
232,21026,200001,1041,,
233,22026,200001,1041,,
234,23026,200001,1041,,
235,24026,200001,1041,,
236,25026,200001,1041,,
237,26026,200001,1041,,
238,21027,200001,1041,,
239,22027,200001,1041,,
240,23027,200001,1041,,
241,24027,200001,1041,,
242,26027,200001,1041,,
243,21028,200001,1041,,
244,23028,200001,1041,,
245,24028,200001,1041,,
246,26028,200001,1041,,
247,21029,200001,136,,
248,22029,200001,136,,
249,23029,200001,136,,
250,24029,200001,136,,
251,25029,200001,136,,
252,26029,200001,136,,
253,31001,200001,40,,
254,32001,200001,40,,
255,34001,200001,40,,
256,35001,200001,40,,
257,36001,200001,40,,
258,31002,200001,40,,
259,32002,200001,40,,
260,33002,200001,40,,
261,34002,200001,40,,
262,35002,200001,40,,
263,36002,200001,40,,
264,31003,200001,40,,
265,32003,200001,40,,
266,33003,200001,40,,
267,34003,200001,40,,
268,35003,200001,40,,
269,36003,200001,40,,
270,31004,200001,40,,
271,32004,200001,40,,
272,33004,200001,40,,
273,34004,200001,40,,
274,35004,200001,40,,
275,36004,200001,40,,
276,32005,200001,40,,
277,33005,200001,40,,
278,34005,200001,40,,
279,35005,200001,40,,
280,36005,200001,40,,
281,31006,200001,40,,
282,32006,200001,40,,
283,33006,200001,40,,
284,34006,200001,40,,
285,35006,200001,40,,
286,36006,200001,40,,
287,31007,200001,136,,
288,32007,200001,136,,
289,34007,200001,136,,
290,35007,200001,136,,
291,36007,200001,136,,
292,32008,200001,136,,
293,33008,200001,136,,
294,34008,200001,136,,
295,35008,200001,136,,
296,36008,200001,136,,
297,31009,200001,136,,
298,32009,200001,136,,
299,33009,200001,136,,
300,34009,200001,136,,
301,36009,200001,136,,
302,31010,200001,136,,
303,32010,200001,136,,
304,33010,200001,136,,
305,34010,200001,136,,
306,35010,200001,136,,
307,36010,200001,136,,
308,31011,200001,136,,
309,32011,200001,136,,
310,33011,200001,136,,
311,34011,200001,136,,
312,35011,200001,136,,
313,36011,200001,136,,
314,31012,200001,136,,
315,32012,200001,136,,
316,33012,200001,136,,
317,34012,200001,136,,
318,35012,200001,136,,
319,36012,200001,136,,
320,31013,200001,136,,
321,32013,200001,136,,
322,33013,200001,136,,
323,34013,200001,136,,
324,35013,200001,136,,
325,36013,200001,136,,
326,32014,200001,136,,
327,33014,200001,136,,
328,34014,200001,136,,
329,36014,200001,136,,
330,32015,200001,136,,
331,33015,200001,136,,
332,34015,200001,136,,
333,36015,200001,136,,
334,31016,200001,136,,
335,32016,200001,136,,
336,33016,200001,136,,
337,34016,200001,136,,
338,35016,200001,136,,
339,36016,200001,136,,
340,31017,200001,136,,
341,32017,200001,136,,
342,33017,200001,136,,
343,34017,200001,136,,
344,35017,200001,136,,
345,36017,200001,136,,
346,32018,200001,136,,
347,33018,200001,136,,
348,34018,200001,136,,
349,35018,200001,136,,
350,36018,200001,136,,
351,31019,200001,136,,
352,32019,200001,136,,
353,34019,200001,136,,
354,35019,200001,136,,
355,36019,200001,136,,
356,31020,200001,136,,
357,32020,200001,136,,
358,33020,200001,136,,
359,34020,200001,136,,
360,35020,200001,136,,
361,36020,200001,136,,
362,31021,200001,136,,
363,32021,200001,136,,
364,33021,200001,136,,
365,34021,200001,136,,
366,35021,200001,136,,
367,36021,200001,136,,
368,31022,200001,644,,
369,32022,200001,644,,
370,33022,200001,644,,
371,34022,200001,644,,
372,35022,200001,644,,
373,36022,200001,644,,
374,31023,200001,644,,
375,32023,200001,644,,
376,33023,200001,644,,
377,34023,200001,644,,
378,35023,200001,644,,
379,36023,200001,644,,
380,31024,200001,644,,
381,32024,200001,644,,
382,33024,200001,644,,
383,34024,200001,644,,
384,35024,200001,644,,
385,36024,200001,644,,
386,33025,200001,644,,
387,35025,200001,644,,
388,36025,200001,644,,
389,32026,200001,644,,
390,33026,200001,644,,
391,34026,200001,644,,
392,36026,200001,644,,
393,31027,200001,644,,
394,32027,200001,644,,
395,34027,200001,644,,
396,35027,200001,644,,
397,36027,200001,644,,
398,31028,200001,644,,
399,32028,200001,644,,
400,33028,200001,644,,
401,34028,200001,644,,
402,35028,200001,644,,
403,36028,200001,644,,
404,31029,200001,1041,,
405,32029,200001,1041,,
406,33029,200001,1041,,
407,34029,200001,1041,,
408,35029,200001,1041,,
409,36029,200001,1041,,
410,31030,200001,1041,,
411,32030,200001,1041,,
412,33030,200001,1041,,
413,34030,200001,1041,,
414,35030,200001,1041,,
415,36030,200001,1041,,
416,31031,200001,1041,,
417,32031,200001,1041,,
418,33031,200001,1041,,
419,34031,200001,1041,,
420,35031,200001,1041,,
421,36031,200001,1041,,
